base,center_sec,label,source
1705_20170827_174622_524.flac,5.0,nan,time_near
1705_20170827_174622_524.flac,7.0,nan,time_near
1705_20170827_174622_524.flac,9.0,nan,time_near
1705_20170827_174622_524.flac,11.0,nan,time_near
1705_20170827_174622_524.flac,13.0,nan,time_near
1705_20170827_174622_524.flac,15.0,nan,time_near
1705_20170827_174622_524.flac,17.0,nan,time_near
1705_20170827_174622_524.flac,19.0,nan,time_near
1705_20170827_174622_524.flac,21.0,nan,time_near
1705_20170827_174622_524.flac,23.0,nan,time_near
1705_20170827_174622_524.flac,25.0,nan,time_near
1705_20170827_174622_524.flac,27.0,nan,time_near
1705_20170827_174622_524.flac,29.0,nan,time_near
1705_20170827_174622_524.flac,31.0,nan,time_near
1705_20170827_174622_524.flac,33.0,nan,time_near
1705_20170827_174622_524.flac,35.0,nan,time_near
1705_20170827_174622_524.flac,37.0,nan,time_near
1705_20170827_174622_524.flac,39.0,nan,time_near
1705_20170827_174622_524.flac,41.0,nan,time_near
1705_20170827_174622_524.flac,43.0,nan,time_near
1705_20170827_174622_524.flac,45.0,nan,time_near
1705_20170827_174622_524.flac,47.0,nan,time_near
1705_20170827_174622_524.flac,49.0,nan,time_near
1705_20170827_174622_524.flac,51.0,nan,time_near
1705_20170827_174622_524.flac,53.0,nan,time_near
1705_20170827_174622_524.flac,55.0,nan,time_near
1705_20170827_174622_524.flac,57.0,nan,time_near
1705_20170827_174622_524.flac,59.0,nan,time_near
1705_20170827_174622_524.flac,5.0,neg,time_near
1705_20170827_174622_524.flac,7.0,neg,time_near
1705_20170827_174622_524.flac,9.0,neg,time_near
1705_20170827_174622_524.flac,11.0,neg,time_near
1705_20170827_174622_524.flac,13.0,neg,time_near
1705_20170827_174622_524.flac,15.0,neg,time_near
1705_20170827_174622_524.flac,17.0,neg,time_near
1705_20170827_174622_524.flac,19.0,neg,time_near
1705_20170827_174622_524.flac,21.0,neg,time_near
1705_20170827_174622_524.flac,23.0,neg,time_near
1705_20170827_174622_524.flac,25.0,neg,time_near
