species,canon,event_center,label
36,1705_20170901_015741,6.5,1
36,1705_20170901_015741,8.5,1
36,1705_20171028_190427,0.5,1
36,1706_20170817_191647,0.5,1
36,1706_20170817_191647,10.5,1
36,1706_20170817_191647,12.5,1
36,1706_20170829_181505,0.5,1
36,1706_20170903_203555,0.5,1
36,1706_20170903_214655,0.5,1
36,1706_20170903_214755,0.5,1
61,1705_20170827_200635,0.5,1
61,1705_20170827_200635,2.5,1
61,1705_20170901_001741,22.5,1
61,1705_20170901_001741,24.5,1
61,1705_20170901_013041,4.5,1
61,1705_20170901_013041,6.5,1
61,1705_20171022_234547,0.5,1
61,1705_20171106_195253,6.5,1
61,1705_20171106_195253,8.5,1
61,1705_20171117_203036,0.5,1
61,1706_20170918_175620,0.5,1
61,1705_20171117_194136,0.5,1
61,1705_20171117_204936,18.5,1
61,1705_20171117_204936,20.5,1
