canon,event_center,species,label
1705_20170901_035441,12.5,61,1
1705_20170901_035441,14.5,61,1
1705_20170901_001741,22.5,61,1
1705_20170901_001741,24.5,61,1
1705_20170827_200635,0.5,61,1
1705_20170827_200635,2.5,61,1
1705_20171028_182627,2.5,61,1
1705_20171028_182627,4.5,61,1
1705_20171117_203036,0.5,61,1
1705_20171117_194136,0.5,61,1
1705_20170901_035441,4.5,61,1
1706_20170819_220058,4.5,61,1
1705_20170901_001741,4.5,61,1
1705_20170827_201135,4.5,61,1
1705_20170827_200635,4.5,61,1
1705_20171121_000848,4.5,61,1
1706_20170830_040205,0.5,61,0
1706_20170830_040205,2.5,61,0
1706_20170830_040205,4.5,61,0
1706_20170830_040205,6.5,61,0
1706_20170830_040205,8.5,61,0
1706_20170830_040205,10.5,61,0
1706_20170830_040205,12.5,61,0
1706_20170830_040205,14.5,61,0
1706_20170830_040205,16.5,61,0
1706_20170830_040205,26.5,61,0
1706_20170830_040205,28.5,61,0
1706_20170830_040205,30.5,61,0
1706_20170830_040205,32.5,61,0
1706_20170830_040205,34.5,61,0
1706_20170830_040205,36.5,61,0
1706_20170830_040205,38.5,61,0
1706_20170918_194720,46.5,36,1
1706_20170918_194720,48.5,36,1
1705_20170901_030641,20.5,36,1
1705_20170901_030641,22.5,36,1
1705_20171106_191653,32.5,36,1
1705_20171106_191653,34.5,36,1
1705_20171117_181336,30.5,36,1
1705_20171117_181336,32.5,36,1
1705_20170901_021241,26.5,36,1
1705_20170901_021241,28.5,36,1
1705_20171117_203736,24.5,36,1
1706_20170829_181505,0.5,36,1
1706_20170718_224146,4.5,36,1
1706_20170918_175920,4.5,36,1
1705_20171117_200136,4.5,36,1
1706_20170918_194720,4.5,36,1
1706_20170718_224146,0.5,36,0
1706_20170718_224146,2.5,36,0
1706_20170718_224146,4.5,36,0
1706_20170718_224146,10.5,36,0
1706_20170718_224146,12.5,36,0
1706_20170718_224146,14.5,36,0
1706_20170718_224146,16.5,36,0
1706_20170718_224146,18.5,36,0
1706_20170718_224146,20.5,36,0
1706_20170718_224146,22.5,36,0
1706_20170718_224146,24.5,36,0
1706_20170718_224146,40.5,36,0
1706_20170718_224146,42.5,36,0
1706_20170718_224146,50.5,36,0
1706_20170918_175920,26.5,36,0
1706_20170918_175920,28.5,36,0
