species_id,species_name
2,Offshore spotted dolphin
13,Striped dolphin
15,Rough-toothed dolphin
18,Bottlenose dolphin
21,Risso's dolphin
26,Fraser's dolphin
31,Melon-headed whale
32,Pygmy killer whale
33,False killer whale
36,Short-finned pilot whale
37,Killer whale
46,Sperm whale
47,Pygmy sperm whale
49,Unidentified beaked whale
51,Unidentified Mesoplodon
59,Blainville's beaked whale
61,Cuvier's beaked whale
65,Longman's beaked whale
70,Unidentified rorqual
71,Minke whale
74,Fin whale
76,Humpback whale
77,Unidentified dolphin
78,Unidentified small whale
79,Unidentified large whale
80,Unidentified Kogia
96,Unidentified cetacean
98,Unidentified whale
99,Sei/Bryde's
102,Spinner dolphin (Gray's)
177,Unidentified small dolphin
277,Unidentified medium dolphin
minke,minke
