alpha,Recall,FP_h,theta,pctl,TP,FP
0.0,0.04407951598962835,10.017738359201775,1.5323867885006097,89.3999999999989,51,251
0.1,0.033707865168539325,10.017738359201775,1.6100151472299267,92.59999999999872,39,251
0.2,0.028522039757994815,10.017738359201775,1.6012461493968078,93.39999999999867,33,251
0.3,0.027657735522904063,10.097560975609756,1.6551235594561478,94.39999999999861,32,253
0.4,0.02592912705272256,10.097560975609756,1.7098013638540017,95.09999999999857,30,253
0.5,0.019878997407087293,10.017738359201775,1.7915062547180147,95.99999999999852,23,251
0.6,0.023336214347450302,10.017738359201775,1.8443981009248576,96.19999999999851,27,251
0.7,0.02679343128781331,9.937915742793793,1.9193714588327844,96.3999999999985,31,249
0.8,0.03111495246326707,10.017738359201775,1.9647735138700246,96.09999999999852,36,251
0.9,0.02679343128781331,10.137472283813748,2.0843960459574364,96.09999999999852,31,254
1.0,0.02679343128781331,10.097560975609756,2.2292719168659603,96.09999999999852,31,253
