N,seed,recall_at_fp10,fp_h,theta,skipped_folds
10,0,0.31287813310285223,10.137472283813748,4.271926622390748,0
10,1,0.2783059636992221,9.698447893569845,4.186852352619171,0
10,2,0.27052722558340536,10.137472283813748,3.86385277748108,0
10,3,0.26534140017286084,10.21729490022173,5.134995384216311,0
10,4,0.3543647363872083,10.257206208425721,3.696141715049745,0
30,0,0.35177182368193605,9.8980044345898,4.639004244804387,0
30,1,0.3292999135695765,10.017738359201775,4.28807895898819,0
30,2,0.30423509075194466,9.8980044345898,4.250816216468814,0
30,3,0.30855661192739847,10.137472283813748,4.637829036712647,0
30,4,0.32497839239412274,10.097560975609756,4.195195345878601,0
100,0,0.40017286084701814,10.376940133037694,3.58944821357727,0
100,1,0.4079515989628349,9.977827050997783,4.206771905422214,0
100,2,0.3863439930855661,10.017738359201775,4.246206340789796,0
100,3,0.3232497839239412,9.85809312638581,4.618261375427246,0
100,4,0.3292999135695765,9.778270509977828,4.691572952270508,0
300,0,0.36041486603284356,10.017738359201775,4.522565841674808,0
300,1,0.38461538461538464,10.337028824833704,4.314653396606446,0
300,2,0.4010371650821089,9.977827050997783,4.242793591022492,0
300,3,0.341400172860847,9.818181818181818,4.629699907302858,0
300,4,0.36041486603284356,9.578713968957873,4.697474279403689,0
1000,0,0.3898012100259291,9.85809312638581,4.457726860046381,0
1000,1,0.3898012100259291,9.85809312638581,4.457726860046381,0
1000,2,0.3898012100259291,9.85809312638581,4.457726860046381,0
1000,3,0.3898012100259291,9.85809312638581,4.457726860046381,0
1000,4,0.3898012100259291,9.85809312638581,4.457726860046381,0
all,0,0.3898012100259291,9.85809312638581,4.457726860046381,0
