pctl,theta,Recall,FP_h,TP,FP,Pred
50.0,0.09077733382582664,0.48314606741573035,48.25277161862528,559,1209,1768
50.5,0.11212093323469155,0.4822817631806396,48.25277161862528,558,1209,1767
51.0,0.13464516386389755,0.48314606741573035,48.33259423503326,559,1211,1770
51.5,0.15403672441840174,0.4840103716508211,48.09312638580931,560,1205,1765
52.0,0.17796872973442074,0.4857389801210026,48.1729490022173,562,1207,1769
52.5,0.19627721086144476,0.49006050129645634,48.09312638580931,567,1205,1772
53.0,0.22048529401421563,0.49524632670700086,47.85365853658537,573,1199,1772
53.5,0.24122495941817762,0.4978392394122731,48.05321507760532,576,1204,1780
54.0,0.2610533964633942,0.4978392394122731,48.25277161862528,576,1209,1785
54.5,0.28204435005784095,0.5012964563526361,48.01330376940133,580,1203,1783
55.0,0.30234529823064815,0.5030250648228176,47.93348115299335,582,1201,1783
55.5,0.32569405794143685,0.5047536732929991,48.01330376940133,584,1203,1787
56.0,0.3478954076766968,0.5056179775280899,47.89356984478936,585,1200,1785
56.5,0.3691490027308463,0.5082108902333622,47.61419068736142,588,1193,1781
57.0,0.3913524010777473,0.5116681071737251,47.53436807095344,592,1191,1783
57.5,0.41571238785982123,0.5108038029386344,47.57427937915743,591,1192,1783
58.0,0.4399468266963957,0.5125324114088159,47.57427937915743,593,1192,1785
58.5,0.46726177960634213,0.5142610198789974,47.41463414634147,595,1188,1783
59.0,0.49008097410202023,0.5142610198789974,46.85587583148559,595,1174,1769
59.5,0.5134383669495581,0.5185825410544511,46.3769401330377,600,1162,1762
60.0,0.536166477203369,0.5194468452895419,46.29711751662972,601,1160,1761
60.5,0.5595470631122589,0.5203111495246326,46.53658536585366,602,1166,1768
61.0,0.5817095768451691,0.5229040622299049,46.73614190687362,605,1171,1776
61.5,0.6042246025800704,0.5229040622299049,46.29711751662972,605,1160,1765
62.0,0.6289117872714997,0.5229040622299049,46.09756097560976,605,1155,1760
62.5,0.6533820331096649,0.5229040622299049,45.57871396895788,605,1142,1747
63.0,0.6831670719385142,0.5211754537597234,45.4589800443459,603,1139,1742
63.5,0.7098419928550724,0.5229040622299049,45.13968957871397,605,1131,1736
64.0,0.7381514167785644,0.5229040622299049,44.98004434589801,605,1127,1732
64.5,0.764243181347847,0.5220397579948142,44.34146341463415,604,1111,1715
65.0,0.7910401135683061,0.5237683664649957,44.02217294900222,606,1103,1709
65.5,0.8190016227960588,0.5237683664649957,43.62305986696231,606,1093,1699
66.0,0.8498276674747467,0.5237683664649957,43.104212860310426,606,1080,1686
66.5,0.878896164894104,0.526361279170268,42.505543237250556,609,1065,1674
67.0,0.9106361728906633,0.5229040622299049,42.186252771618626,605,1057,1662
67.5,0.9385085552930833,0.5237683664649957,41.906873614190694,606,1050,1656
68.0,0.9666943550109866,0.5306828003457217,41.308203991130824,614,1035,1649
68.5,0.9929769545793534,0.5315471045808124,40.789356984478935,615,1022,1637
69.0,1.0231032216548914,0.5324114088159032,40.031042128603104,616,1003,1619
69.5,1.0563565552234644,0.5298184961106309,39.1529933481153,613,981,1594
70.0,1.0908433079719542,0.5298184961106309,38.75388026607539,613,971,1584
70.5,1.1248327416181563,0.5289541918755402,38.07538802660754,612,954,1566
71.0,1.1584407019615157,0.5306828003457217,37.55654101995566,614,941,1555
71.5,1.1988615226745605,0.5306828003457217,36.79822616407983,614,922,1536
72.0,1.23315447807312,0.5324114088159032,36.11973392461198,616,905,1521
72.5,1.2662764459848403,0.533275713050994,35.20177383592018,617,882,1499
73.0,1.3011794543266295,0.533275713050994,35.00221729490023,617,877,1494
73.5,1.3419092965126038,0.5289541918755402,34.08425720620843,612,854,1466
74.0,1.37932553768158,0.5272255834053586,33.166297117516635,610,831,1441
74.5,1.4226888734102243,0.5246326707000865,32.088691796008874,607,804,1411
75.0,1.4639769792556763,0.5220397579948142,31.56984478935699,604,791,1395
75.5,1.5006821799278272,0.5203111495246326,30.731707317073173,602,770,1372
76.0,1.5416811180114744,0.5177182368193605,29.893569844789358,599,749,1348
76.5,1.590722234249115,0.5177182368193605,29.095343680709536,599,729,1328
77.0,1.6407452356815342,0.5168539325842697,27.898004434589804,598,699,1297
77.5,1.6886990547180165,0.5133967156439067,27.339246119733925,594,685,1279
78.0,1.7344632649421694,0.5108038029386344,26.42128603104213,591,662,1253
78.5,1.7916628944873827,0.5056179775280899,25.782705099778273,585,646,1231
79.0,1.8576587069034574,0.4995678478824546,25.223946784922397,578,632,1210
79.5,1.9154004043340684,0.4978392394122731,24.38580931263858,576,611,1187
80.0,1.9741851329803468,0.4943820224719101,23.54767184035477,572,590,1162
80.5,2.036969654560089,0.49524632670700086,23.028824833702885,573,577,1150
81.0,2.102254722118378,0.49178910976663787,22.350332594235034,569,560,1129
81.5,2.175994237661361,0.4874675885911841,21.392461197339248,564,536,1100
82.0,2.248897409439087,0.4822817631806396,20.674057649667407,558,518,1076
