pctl_q,theta_q,pctl_p,theta_p,Recall,FP_h,TP,FP,Pred
98,2.663555364608762,50.0,0.09077733382582664,0.49006050129645634,53.04212860310422,567,1329,1896
98,2.663555364608762,50.5,0.11212093323469155,0.4891961970613656,53.04212860310422,566,1329,1895
98,2.663555364608762,51.0,0.13464516386389755,0.49006050129645634,53.16186252771619,567,1332,1899
98,2.663555364608762,51.5,0.15403672441840174,0.4909248055315471,52.96230598669624,568,1327,1895
98,2.663555364608762,52.0,0.17796872973442074,0.49265341400172863,53.04212860310422,570,1329,1899
98,2.663555364608762,52.5,0.19627721086144476,0.4969749351771824,52.922394678492246,575,1326,1901
98,2.663555364608762,53.0,0.22048529401421563,0.5021607605877269,52.6829268292683,581,1320,1901
98,2.663555364608762,53.5,0.24122495941817762,0.5047536732929991,52.882483370288256,584,1325,1909
98,2.663555364608762,54.0,0.2610533964633942,0.5047536732929991,53.08203991130821,584,1330,1914
98,2.663555364608762,54.5,0.28204435005784095,0.5082108902333622,52.84257206208426,588,1324,1912
98,2.663555364608762,55.0,0.30234529823064815,0.5099394987035436,52.76274944567628,590,1322,1912
98,2.663555364608762,55.5,0.32569405794143685,0.5116681071737251,52.80266075388027,592,1323,1915
98,2.663555364608762,56.0,0.3478954076766968,0.5125324114088159,52.6829268292683,593,1320,1913
98,2.663555364608762,56.5,0.3691490027308463,0.5151253241140882,52.44345898004435,596,1314,1910
98,2.663555364608762,57.0,0.3913524010777473,0.5177182368193605,52.40354767184036,599,1313,1912
98,2.663555364608762,57.5,0.41571238785982123,0.5168539325842697,52.44345898004435,598,1314,1912
98,2.663555364608762,58.0,0.4399468266963957,0.5185825410544511,52.44345898004435,600,1314,1914
98,2.663555364608762,58.5,0.46726177960634213,0.5203111495246326,52.32372505543238,602,1311,1913
98,2.663555364608762,59.0,0.49008097410202023,0.5203111495246326,51.7649667405765,602,1297,1899
98,2.663555364608762,59.5,0.5134383669495581,0.5246326707000865,51.286031042128606,607,1285,1892
98,2.663555364608762,60.0,0.536166477203369,0.5254969749351772,51.206208425720625,608,1283,1891
98,2.663555364608762,60.5,0.5595470631122589,0.526361279170268,51.445676274944574,609,1289,1898
98,2.663555364608762,61.0,0.5817095768451691,0.5280898876404494,51.68514412416852,611,1295,1906
98,2.663555364608762,61.5,0.6042246025800704,0.5280898876404494,51.246119733924616,611,1284,1895
98,2.663555364608762,62.0,0.6289117872714997,0.5280898876404494,51.046563192904664,611,1279,1890
98,2.663555364608762,62.5,0.6533820331096649,0.5280898876404494,50.527716186252775,611,1266,1877
98,2.663555364608762,63.0,0.6831670719385142,0.526361279170268,50.407982261640804,609,1263,1872
98,2.663555364608762,63.5,0.7098419928550724,0.5280898876404494,50.088691796008874,611,1255,1866
98,2.663555364608762,64.0,0.7381514167785644,0.5280898876404494,49.929046563192905,611,1251,1862
98,2.663555364608762,64.5,0.764243181347847,0.5272255834053586,49.29046563192905,610,1235,1845
98,2.663555364608762,65.0,0.7910401135683061,0.5289541918755402,48.97117516629712,612,1227,1839
98,2.663555364608762,65.5,0.8190016227960588,0.5289541918755402,48.57206208425721,612,1217,1829
98,2.663555364608762,66.0,0.8498276674747467,0.5289541918755402,48.05321507760532,612,1204,1816
98,2.663555364608762,66.5,0.878896164894104,0.5315471045808124,47.45454545454546,615,1189,1804
