species,N_days,seed,auc_mean,auc_std,n_folds_used,n_pos_days_total,n_days_used_median
Minke whale,1,0,0.8605219959599845,0.14695002571613575,4,8,1
Minke whale,1,1,0.9336857079800802,0.0580719315686569,4,8,1
Minke whale,1,2,0.9279991904534417,0.04457538686235223,4,8,1
Minke whale,1,3,0.8369489147300336,0.13149665492681606,4,8,1
Minke whale,1,4,0.7509387830988885,0.13867190952637318,4,8,1
Minke whale,1,5,0.9681066961204438,0.013294769704931412,4,8,1
Minke whale,1,6,0.9140989477676879,0.05031336202947701,4,8,1
Minke whale,1,7,0.9461847828464087,0.05128319068320411,4,8,1
Minke whale,1,8,0.9334228496865222,0.05106801515499247,4,8,1
Minke whale,1,9,0.8293042955219544,0.09778405590912609,4,8,1
Minke whale,2,0,0.9139601140532546,0.0808476617329434,4,8,2
Minke whale,2,1,0.9433400538004051,0.019856590818169255,4,8,2
Minke whale,2,2,0.9358251938264205,0.04880434298875865,4,8,2
Minke whale,2,3,0.9420187877972335,0.03805208201540432,4,8,2
Minke whale,2,4,0.8310114252299021,0.21716517024349158,4,8,2
Minke whale,2,5,0.913263173639684,0.09521056222656946,4,8,2
Minke whale,2,6,0.9564802990436302,0.03658432445377971,4,8,2
Minke whale,2,7,0.9589745512649633,0.026394362019914866,4,8,2
Minke whale,2,8,0.9713773576026802,0.019761555687619836,4,8,2
Minke whale,2,9,0.9488291618590894,0.052005176403154565,4,8,2
Minke whale,4,0,0.9340436255080317,0.06520018306963088,4,8,4
Minke whale,4,1,0.9670207430955347,0.034786289423695334,4,8,4
Minke whale,4,2,0.956106412595343,0.03145840869573223,4,8,4
Minke whale,4,3,0.9164203301930859,0.09586389706679099,4,8,4
Minke whale,4,4,0.9471789769212001,0.03910909547068049,4,8,4
Minke whale,4,5,0.9600556553976699,0.02975284983169611,4,8,4
Minke whale,4,6,0.9759481829750675,0.020720944530237442,4,8,4
Minke whale,4,7,0.9565771690457111,0.04303380134066986,4,8,4
Minke whale,4,8,0.9442763268346624,0.026734331571332696,4,8,4
Minke whale,4,9,0.9537795393391549,0.012549779482949506,4,8,4
Minke whale,8,0,0.9709150009053309,0.02338325949670829,4,8,6
Minke whale,8,1,0.9709150009053309,0.02338325949670829,4,8,6
Minke whale,8,2,0.9709150009053309,0.02338325949670829,4,8,6
Minke whale,8,3,0.9709150009053309,0.02338325949670829,4,8,6
Minke whale,8,4,0.9709150009053309,0.02338325949670829,4,8,6
Minke whale,8,5,0.9709150009053309,0.02338325949670829,4,8,6
Minke whale,8,6,0.9709150009053309,0.02338325949670829,4,8,6
