species,N_days,auc_mean,auc_std,n_seeds,n_pos_days_total,n_days_used_median
Minke whale,1,0.8901212164165445,0.06813490094576878,10,8,1.0
Minke whale,2,0.9315080118117264,0.03982892769519563,10,8,2.0
Minke whale,4,0.9511406961905461,0.016894671364920188,10,8,4.0
Minke whale,8,0.9709150009053309,0.0,10,8,6.0
Minke whale,16,0.9709150009053309,0.0,10,8,6.0
Minke whale,all,0.9709150009053309,,1,8,6.0
Sperm whale,1,0.5644264746253945,0.07494894685364219,10,32,1.0
Sperm whale,2,0.560681686704013,0.0546558616936549,10,32,2.0
Sperm whale,4,0.583862983584353,0.08845007195938147,10,32,4.0
Sperm whale,8,0.6038429417085796,0.062236328101642126,10,32,8.0
Sperm whale,16,0.6758728195462531,0.04347744802361797,10,32,16.0
Sperm whale,all,0.724154622816327,,1,32,26.0
False killer whale,1,0.7291483334982439,0.045155874871006876,10,13,1.0
False killer whale,2,0.747029357589353,0.06287640378581151,10,13,2.0
False killer whale,4,0.8057307285451737,0.04079177539261718,10,13,4.0
False killer whale,8,0.8741804733148604,0.030572612133200134,10,13,8.0
False killer whale,16,0.8806982462402928,0.0,10,13,11.0
False killer whale,all,0.8806982462402928,,1,13,11.0
Short-finned pilot whale,1,0.6266379220137313,0.04399233960907217,10,11,1.0
Short-finned pilot whale,2,0.6759222117198821,0.058997408406514865,10,11,2.0
Short-finned pilot whale,4,0.7312678563316709,0.037318504362751546,10,11,4.0
Short-finned pilot whale,8,0.797070869807555,0.022857166718741315,10,11,8.0
Short-finned pilot whale,16,0.7984599442011013,0.0,10,11,9.0
Short-finned pilot whale,all,0.7984599442011013,,1,11,9.0
Rough-toothed dolphin,1,0.6280125385610882,0.08866859646988175,10,8,1.0
Rough-toothed dolphin,2,0.6462339556391878,0.06728574242242591,10,8,2.0
Rough-toothed dolphin,4,0.6339710415959726,0.05593023436340096,10,8,4.0
Rough-toothed dolphin,8,0.6370268917843733,0.0,10,8,6.0
Rough-toothed dolphin,16,0.6370268917843733,0.0,10,8,6.0
Rough-toothed dolphin,all,0.6370268917843733,,1,8,6.0
Offshore spotted dolphin,1,0.6197993961979988,0.16179824008759686,10,11,1.0
Offshore spotted dolphin,2,0.5706480487588131,0.06714104249481469,10,11,2.0
Offshore spotted dolphin,4,0.5522803522429705,0.04773145254292554,10,11,4.0
Offshore spotted dolphin,8,0.5163120267415661,0.023245133816648753,10,11,8.0
Offshore spotted dolphin,16,0.5080368063339927,0.0,10,11,8.0
Offshore spotted dolphin,all,0.5080368063339927,,1,11,8.0
Striped dolphin,1,0.6172590731679544,0.12282534657821897,10,9,1.0
Striped dolphin,2,0.6042302702269083,0.0953828735969829,10,9,2.0
Striped dolphin,4,0.6304277405608217,0.10230476237037295,10,9,4.0
Striped dolphin,8,0.7176992669103098,0.0,10,9,7.0
Striped dolphin,16,0.7176992669103098,0.0,10,9,7.0
Striped dolphin,all,0.7176992669103098,,1,9,7.0
