encoder,score,tol,avg,P,R,F1,FP_h,n_species
OceanBEATs_stage2,kNN_z,15,macro,0.31961501879199344,0.21923690705744653,0.23039680162257486,40.81394769990216,7
OceanBEATs_stage2,kNN_z,15,micro,0.417020273455917,0.12858908192193066,0.19656647591532864,34.97053971246759,7
OceanBEATs_stage2,kNN_z,20,macro,0.3910894021580698,0.2837064861390676,0.2956474815555317,36.525993928490216,7
OceanBEATs_stage2,kNN_z,20,micro,0.4811409712399811,0.14836083448426254,0.22679037724318016,31.124204572236625,7
OceanBEATs_stage2,Mahalanobis_z,15,macro,0.3617315016588042,0.2567343242379508,0.2684134183328002,38.2879322568912,7
OceanBEATs_stage2,Mahalanobis_z,15,micro,0.45426685525695426,0.14007414407210875,0.214123006833713,32.7362715060099,7
OceanBEATs_stage2,Mahalanobis_z,20,macro,0.429684604237543,0.3180496016343756,0.33046953285313946,34.211330219565475,7
OceanBEATs_stage2,Mahalanobis_z,20,micro,0.5150872230080151,0.15882823289961473,0.2427912661814545,29.087909497996698,7
OceanBEATs_stage2,CCED2,15,macro,0.35961972898280176,0.2539779043107067,0.26572867603548705,38.41465359482054,7
OceanBEATs_stage2,CCED2,15,micro,0.45568128241395567,0.14051028567274843,0.21478971053947443,32.651425877916566,7
OceanBEATs_stage2,CCED2,20,macro,0.4238129668694549,0.3120856578394073,0.3245159356300905,34.56364343901996,7
OceanBEATs_stage2,CCED2,20,micro,0.5143800094295143,0.1586101620992949,0.2424579143285738,29.130332312043365,7
