model,seed,best_ep,eventF1,clipF1,seg2sF1
PRETRAIN,42,7,0.4828,0.7844,0.5062
PRETRAIN,123,8,0.4985,0.7623,0.5117
PRETRAIN,777,7,0.4725,0.7226,0.4888
DAPTfix,42,7,0.4930,0.7487,0.5178
DAPTfix,123,8,0.5050,0.7437,0.5342
DAPTfix,777,8,0.4921,0.7497,0.5301
DAPTbuggy,42,7,0.4824,0.7809,0.5036
DAPTbuggy,123,8,0.5032,0.7577,0.5089
DAPTbuggy,777,8,0.4825,0.7624,0.5259
PRETRAIN,101,8,0.4787,0.7611,0.5186
DAPTfix,101,8,0.5024,0.7680,0.5362
PRETRAIN,202,7,0.4757,0.7464,0.4986
DAPTfix,202,7,0.4926,0.7336,0.5226
PRETRAIN,303,5,0.4825,0.7385,0.4827
DAPTfix,303,8,0.4983,0.7375,0.5264
PRETRAIN,404,6,0.4713,0.7471,0.4986
DAPTfix,404,7,0.4858,0.7221,0.5140
PRETRAIN,505,7,0.4611,0.7059,0.4888
DAPTfix,505,5,0.4717,0.7089,0.4995
DAPTfix40k,42,8,0.5154,0.7865,0.5513
DAPTfix40k,123,8,0.5179,0.7682,0.5275
DAPTfix40k,777,8,0.4971,0.7639,0.5283
DAPTfix40k,101,8,0.5029,0.7858,0.5369
DAPTfix40k,202,7,0.4847,0.7337,0.5199
DAPTfix40k,303,6,0.4805,0.7436,0.5176
DAPTfix40k,404,5,0.4820,0.7227,0.5244
DAPTfix40k,505,8,0.4824,0.7301,0.5247
