alpha,Recall,FP_h,theta,pctl,TP,FP
0.0,0.03457216940363008,9.977827050997783,1.5592711423061552,91.59999999999877,40,250
0.1,0.02592912705272256,10.057649667405766,1.6136352118942168,93.19999999999868,30,252
0.2,0.028522039757994815,10.017738359201775,1.5783847560284316,93.59999999999866,33,251
0.3,0.03197925669835782,10.137472283813748,1.6308410035722523,94.5999999999986,37,254
0.4,0.03025064822817632,10.017738359201775,1.6782366468686234,95.39999999999856,35,251
0.5,0.024200518582541054,9.977827050997783,1.7509417317437863,96.09999999999852,28,250
0.6,0.02592912705272256,10.137472283813748,1.8045273164223665,96.2999999999985,30,254
0.7,0.029386343993085567,9.937915742793793,1.8951173636367606,96.4999999999985,34,249
0.8,0.032843560933448576,9.8980044345898,1.9499571499873727,96.09999999999852,38,248
0.9,0.032843560933448576,9.85809312638581,2.086377215455123,96.09999999999852,38,247
1.0,0.036300777873811585,10.017738359201775,2.2311145427220564,95.89999999999853,42,251
