N,seed,recall_at_fp10,fp_h,theta,skipped_folds
10,0,0.32152117545375974,10.297117516629713,4.390398037433629,0
10,1,0.2783059636992221,9.977827050997783,3.726195061206816,0
10,2,0.30423509075194466,9.778270509977828,4.390745353698732,0
10,3,0.24632670700086431,9.8980044345898,6.034490227699285,0
10,4,0.337942955920484,10.496674057649669,3.807360212802888,0
30,0,0.36732929991356955,9.85809312638581,4.628314259052278,0
30,1,0.3474503025064823,10.337028824833704,4.083369193077092,0
30,2,0.30682800345721695,9.977827050997783,4.586899905204773,0
30,3,0.33016421780466726,10.257206208425721,5.258851485252386,0
30,4,0.334485738980121,9.8980044345898,4.769278631210331,0
100,0,0.4105445116681072,9.738359201773836,4.003461503982542,0
100,1,0.40535868625756266,10.21729490022173,4.363433980941772,0
100,2,0.40881590319792566,9.937915742793793,4.378705534935,0
100,3,0.337942955920484,10.097560975609756,4.594776535034181,0
100,4,0.3794295592048401,10.456762749445677,4.710915555953981,0
300,0,0.3621434745030251,9.85809312638581,5.118621306419373,0
300,1,0.40363007778738114,9.738359201773836,4.5189792561531075,0
300,2,0.4243733794295592,9.977827050997783,4.27694110870361,0
300,3,0.38807260155574763,10.057649667405766,4.562176246643068,0
300,4,0.40190146931719967,10.017738359201775,4.750662298202517,0
1000,0,0.4364736387208297,10.017738359201775,4.612645578384398,0
1000,1,0.4364736387208297,10.017738359201775,4.612645578384398,0
1000,2,0.4364736387208297,10.017738359201775,4.612645578384398,0
1000,3,0.4364736387208297,10.017738359201775,4.612645578384398,0
1000,4,0.4364736387208297,10.017738359201775,4.612645578384398,0
all,0,0.4364736387208297,10.017738359201775,4.612645578384398,0
