pctl,theta,Recall,FP_h,TP,FP,Pred
50.0,0.10904895886778831,0.5099394987035436,48.09312638580931,590,1205,1795
50.5,0.1301919303089378,0.5125324114088159,47.6940133037694,593,1195,1788
51.0,0.15375760108232508,0.5125324114088159,48.05321507760532,593,1204,1797
51.5,0.17413908205926418,0.5151253241140882,47.89356984478936,596,1200,1796
52.0,0.1974159896373749,0.5142610198789974,48.29268292682927,595,1210,1805
52.5,0.21588158383965503,0.5142610198789974,48.53215077605322,595,1216,1811
53.0,0.23861214056611066,0.5185825410544511,48.1729490022173,600,1207,1807
53.5,0.26185544788837434,0.5203111495246326,47.97339246119734,602,1202,1804
54.0,0.2824584150314332,0.5229040622299049,48.01330376940133,605,1203,1808
54.5,0.3039244891703129,0.5272255834053586,47.77383592017739,610,1197,1807
55.0,0.3262671649456025,0.5298184961106309,48.09312638580931,613,1205,1818
55.5,0.3467662724852562,0.5315471045808124,47.89356984478936,615,1200,1815
56.0,0.3696902775764466,0.533275713050994,47.85365853658537,617,1199,1816
56.5,0.39403564170002897,0.5341400172860847,47.49445676274945,618,1190,1808
57.0,0.4158895432949063,0.5367329299913569,47.61419068736142,621,1193,1814
57.5,0.4408461287617683,0.5341400172860847,47.29490022172949,618,1185,1803
58.0,0.4636224222183222,0.5384615384615384,47.09534368070954,623,1180,1803
58.5,0.4862138393521306,0.5384615384615384,46.3769401330377,623,1162,1785
59.0,0.5100289094448089,0.5419187554019015,46.41685144124169,627,1163,1790
59.5,0.53369487285614,0.543647363872083,46.41685144124169,629,1163,1792
60.0,0.5609069585800168,0.5445116681071738,46.17738359201774,630,1157,1787
60.5,0.5843599221110344,0.5427830596369922,45.97782705099779,628,1152,1780
61.0,0.6091355311870574,0.547104580812446,45.49889135254989,633,1140,1773
61.5,0.6337484446167945,0.5479688850475367,45.019955654102,634,1128,1762
62.0,0.6624158799648286,0.5479688850475367,45.019955654102,634,1128,1762
62.5,0.6881835907697678,0.5479688850475367,44.94013303769402,634,1126,1760
63.0,0.7135676008462906,0.5479688850475367,44.66075388026608,634,1119,1753
63.5,0.7418914434313776,0.5488331892826275,44.101995565410206,635,1105,1740
64.0,0.7703533840179444,0.547104580812446,43.463414634146346,633,1089,1722
64.5,0.8025784644484519,0.5453759723422644,43.2239467849224,631,1083,1714
65.0,0.8315627306699753,0.547104580812446,42.94456762749446,633,1076,1709
65.5,0.8658838188648225,0.5488331892826275,42.186252771618626,635,1057,1692
66.0,0.8965475130081176,0.5496974935177182,41.587583148558764,636,1042,1678
66.5,0.9232272216677666,0.5488331892826275,41.028824833702885,635,1028,1663
67.0,0.9576035112142568,0.5479688850475367,40.54988913525499,634,1016,1650
67.5,0.9907978430390358,0.547104580812446,40.15077605321508,633,1006,1639
68.0,1.0248948192596439,0.550561797752809,39.75166297117517,637,996,1633
