pctl,theta,Recall,FP_h,TP,FP,Pred
80.0,1.1654541015625006,0.13223854796888504,36.55875831485588,153,916,1069
80.5,1.1878965318202972,0.12791702679343128,36.0,148,902,1050
81.0,1.2107164311408998,0.12705272255834055,35.48115299334812,147,889,1036
81.5,1.2324149936437603,0.12618841832324978,35.16186252771619,146,881,1027
82.0,1.2558748292922974,0.12013828867761452,34.48337028824834,139,864,1003
82.5,1.2790300995111463,0.11408815903197926,34.40354767184036,132,862,994
83.0,1.3005474627017972,0.11581676750216076,33.605321507760536,134,842,976
83.5,1.3261473649740223,0.1097666378565255,33.246119733924616,127,833,960
84.0,1.347714710235595,0.1097666378565255,32.407982261640804,127,812,939
84.5,1.3749258643388744,0.1063094209161625,32.008869179600886,123,802,925
85.0,1.398387771844864,0.10544511668107173,31.170731707317074,122,781,903
85.5,1.4250592201948165,0.09939498703543648,30.93126385809313,115,775,890
86.0,1.4500080490112304,0.09593777009507347,30.212860310421288,111,757,868
86.5,1.474623579978943,0.09507346585998272,29.414634146341466,110,737,847
87.0,1.4978529095649715,0.09420916162489196,28.8159645232816,109,722,831
87.5,1.5217872112989426,0.09161624891961971,28.13747228381375,106,705,811
88.0,1.5473338317871097,0.08902333621434745,27.339246119733925,103,685,788
88.5,1.578168326616287,0.08729472774416594,26.38137472283814,101,661,762
89.0,1.6027157175540925,0.08383751080380294,25.423503325942352,97,637,734
89.5,1.632440097332001,0.08297320656871218,24.66518847006652,96,618,714
90.0,1.6607414126396178,0.07865168539325842,23.787139689578716,91,596,687
90.5,1.6940641063451771,0.07519446845289542,22.669623059866964,87,568,655
91.0,1.7271685922145856,0.07260155574762317,21.192904656319293,84,531,615
91.5,1.7613861387968062,0.07260155574762317,20.394678492239468,84,511,595
92.0,1.8021569061279297,0.07000864304235091,19.3569844789357,81,485,566
92.5,1.8437753766775131,0.0682800345721694,18.23946784922395,79,457,536
93.0,1.8878949427604674,0.06309420916162489,16.962305986696233,73,425,498
93.5,1.9328677093982698,0.05790838375108038,15.764966740576497,67,395,462
94.0,1.9831115412712097,0.052722558340535866,14.607538802660756,61,366,427
94.5,2.0392497301101686,0.046672428694900604,13.450110864745012,54,337,391
95.0,2.102546548843381,0.04840103716508211,12.252771618625278,56,307,363
95.5,2.163848762512206,0.04062229904926534,11.21507760532151,47,281,328
96.0,2.249312744140625,0.036300777873811585,9.818181818181818,42,246,288
96.5,2.325567556619643,0.027657735522904063,8.700665188470067,32,218,250
97.0,2.4292186498641963,0.027657735522904063,7.8625277161862535,32,197,229
97.5,2.5356093525886547,0.025064822817631807,6.585365853658537,29,165,194
98.0,2.6745355892181393,0.01901469317199654,5.4279379157427945,22,136,158
98.5,2.8351966011524197,0.013828867761452032,3.9512195121951224,16,99,115
99.0,3.097573275566103,0.00864304235090752,2.7937915742793793,10,70,80
99.5,3.515012593269334,0.007778738115816767,1.1175166297117518,9,28,37
