species,N_days,seed,auc_mean,auc_std,n_folds_used,n_pos_days_total,n_days_used_median
Minke whale,1,0,0.8769137293810613,0.12031998053760379,4,8,1
Minke whale,1,1,0.936693598729486,0.05584377766291723,4,8,1
Minke whale,1,2,0.9307642618539618,0.0429992585936224,4,8,1
Minke whale,1,3,0.8543968566848841,0.10756945856018538,4,8,1
Minke whale,1,4,0.8174938309082217,0.0845658971261327,4,8,1
Minke whale,1,5,0.9683115712322471,0.014939335060706877,4,8,1
Minke whale,1,6,0.9181534857333887,0.04762223565190086,4,8,1
Minke whale,1,7,0.9491493947892704,0.05012192603326697,4,8,1
Minke whale,1,8,0.9380047277403878,0.048341154450942975,4,8,1
Minke whale,1,9,0.8607974968586527,0.05275856422372945,4,8,1
Minke whale,2,0,0.9294935725729127,0.05790903484515765,4,8,2
Minke whale,2,1,0.9483252102133902,0.017995339715707957,4,8,2
Minke whale,2,2,0.9385728971768017,0.04944771880342586,4,8,2
Minke whale,2,3,0.9422257739016849,0.037377090330678556,4,8,2
Minke whale,2,4,0.8682409600291979,0.1550444744172033,4,8,2
Minke whale,2,5,0.9244618457224144,0.07357347142162303,4,8,2
Minke whale,2,6,0.95793936411989,0.03640695913004746,4,8,2
Minke whale,2,7,0.9600700662822148,0.02613616379381142,4,8,2
Minke whale,2,8,0.9714975090627602,0.020107892556235234,4,8,2
Minke whale,2,9,0.9491927589024669,0.051504967688340654,4,8,2
Minke whale,4,0,0.9464793719397366,0.04708061296684799,4,8,4
Minke whale,4,1,0.9684665470104865,0.03387295353821244,4,8,4
Minke whale,4,2,0.95773943886952,0.03271952044389095,4,8,4
Minke whale,4,3,0.9304726727394288,0.07549386705705217,4,8,4
Minke whale,4,4,0.9508976653773156,0.039290118961490185,4,8,4
Minke whale,4,5,0.9593473877196752,0.030584717568724395,4,8,4
Minke whale,4,6,0.977324312055937,0.019705467587198718,4,8,4
Minke whale,4,7,0.9577498475725568,0.04259584687146023,4,8,4
Minke whale,4,8,0.9473724804446328,0.030051957778063975,4,8,4
Minke whale,4,9,0.9574398220577576,0.012463627640571054,4,8,4
Minke whale,8,0,0.9712608084866061,0.02266277872578249,4,8,6
Minke whale,8,1,0.9712608084866061,0.02266277872578249,4,8,6
Minke whale,8,2,0.9712608084866061,0.02266277872578249,4,8,6
Minke whale,8,3,0.9712608084866061,0.02266277872578249,4,8,6
Minke whale,8,4,0.9712608084866061,0.02266277872578249,4,8,6
Minke whale,8,5,0.9712608084866061,0.02266277872578249,4,8,6
Minke whale,8,6,0.9712608084866061,0.02266277872578249,4,8,6
Minke whale,8,7,0.9712608084866061,0.02266277872578249,4,8,6
Minke whale,8,8,0.9712608084866061,0.02266277872578249,4,8,6
Minke whale,8,9,0.9712608084866061,0.02266277872578249,4,8,6
Minke whale,16,0,0.9712608084866061,0.02266277872578249,4,8,6
Minke whale,16,1,0.9712608084866061,0.02266277872578249,4,8,6
Minke whale,16,2,0.9712608084866061,0.02266277872578249,4,8,6
Minke whale,16,3,0.9712608084866061,0.02266277872578249,4,8,6
Minke whale,16,4,0.9712608084866061,0.02266277872578249,4,8,6
Minke whale,16,5,0.9712608084866061,0.02266277872578249,4,8,6
Minke whale,16,6,0.9712608084866061,0.02266277872578249,4,8,6
Minke whale,16,7,0.9712608084866061,0.02266277872578249,4,8,6
Minke whale,16,8,0.9712608084866061,0.02266277872578249,4,8,6
Minke whale,16,9,0.9712608084866061,0.02266277872578249,4,8,6
Minke whale,all,0,0.9712608084866061,0.02266277872578249,4,8,6
Sperm whale,1,0,0.6912201336161302,0.09086250320502628,4,32,1
Sperm whale,1,1,0.6226183112014458,0.2160068824101939,5,32,1
Sperm whale,1,2,0.4682305484837957,0.057103205926707874,3,32,1
Sperm whale,1,3,0.5482945940073105,0.13728847276188977,5,32,1
Sperm whale,1,4,0.6060679044243554,0.14329795036571988,5,32,1
Sperm whale,1,5,0.6119974803403655,0.14357738026647493,5,32,1
Sperm whale,1,6,0.5938297529630782,0.11399135544343614,5,32,1
Sperm whale,1,7,0.5654264640866135,0.16461530369318578,5,32,1
