species,N_days,auc_mean,auc_std,n_seeds,n_pos_days_total,n_days_used_median
Minke whale,1,0.9050678953911561,0.049271124367009964,10,8,1.0
Minke whale,2,0.9390019957983734,0.028613802041291214,10,8,2.0
Minke whale,4,0.9553289545787047,0.012770445366249683,10,8,4.0
Minke whale,8,0.9712608084866062,0.0,10,8,6.0
Minke whale,16,0.9712608084866062,0.0,10,8,6.0
Minke whale,all,0.9712608084866061,,1,8,6.0
Sperm whale,1,0.5836551713030709,0.06092328714072106,10,32,1.0
Sperm whale,2,0.5763445025957784,0.04926019712550373,10,32,2.0
Sperm whale,4,0.6000472764650979,0.08681292590279874,10,32,4.0
Sperm whale,8,0.619450723661594,0.05816816046753521,10,32,8.0
Sperm whale,16,0.6824781044851459,0.04469699253445084,10,32,16.0
Sperm whale,all,0.7347565284905146,,1,32,26.0
False killer whale,1,0.7480675325657302,0.05712488045922467,10,13,1.0
False killer whale,2,0.7534584061525054,0.0686590784026133,10,13,2.0
False killer whale,4,0.8140416801926499,0.04057232584767379,10,13,4.0
False killer whale,8,0.8844945044622715,0.03051977412244783,10,13,8.0
False killer whale,16,0.8939506124701199,0.0,10,13,11.0
False killer whale,all,0.8939506124701199,,1,13,11.0
Short-finned pilot whale,1,0.6259234641057564,0.04721487037331958,10,11,1.0
Short-finned pilot whale,2,0.6741797501643726,0.061509824138289225,10,11,2.0
Short-finned pilot whale,4,0.7312205257916007,0.04254861358233696,10,11,4.0
Short-finned pilot whale,8,0.7997555241456819,0.02293343626764363,10,11,8.0
Short-finned pilot whale,16,0.8013345976404438,0.0,10,11,9.0
Short-finned pilot whale,all,0.8013345976404438,,1,11,9.0
Rough-toothed dolphin,1,0.5981820284682026,0.09610596659435033,10,8,1.0
Rough-toothed dolphin,2,0.6139574014083179,0.06200554362572755,10,8,2.0
Rough-toothed dolphin,4,0.6123313768437797,0.05613944982829627,10,8,4.0
Rough-toothed dolphin,8,0.6347860396893448,0.0,10,8,6.0
Rough-toothed dolphin,16,0.6347860396893448,0.0,10,8,6.0
Rough-toothed dolphin,all,0.6347860396893448,,1,8,6.0
Offshore spotted dolphin,1,0.5883294537508995,0.17808474881581868,10,11,1.0
Offshore spotted dolphin,2,0.5398241118506226,0.0766667963882337,10,11,2.0
Offshore spotted dolphin,4,0.5472390663672324,0.054931283134891956,10,11,4.0
Offshore spotted dolphin,8,0.4961693238193227,0.027931095279634076,10,11,8.0
Offshore spotted dolphin,16,0.487300628921216,0.0,10,11,8.0
Offshore spotted dolphin,all,0.48730062892121606,,1,11,8.0
Striped dolphin,1,0.6297040928315149,0.12389818384509557,10,9,1.0
Striped dolphin,2,0.6180438397076342,0.08675833407834034,10,9,2.0
Striped dolphin,4,0.612587871491972,0.12331258798807158,10,9,4.0
Striped dolphin,8,0.710797316597201,0.0,10,9,7.0
Striped dolphin,16,0.710797316597201,0.0,10,9,7.0
Striped dolphin,all,0.710797316597201,,1,9,7.0
