encoder,score,tol,avg,P,R,F1,FP_h,n_species
BEATs+DAPT,kNN_z,15,macro,0.3119394942028529,0.218932167363623,0.22927119626566336,41.274104741020714,7
BEATs+DAPT,kNN_z,15,micro,0.3927392739273927,0.12110198444428291,0.1851213956330907,36.42705632806976,7
BEATs+DAPT,kNN_z,20,macro,0.3801874500894712,0.27879746237872144,0.2900694230301193,37.17955688994591,7
BEATs+DAPT,kNN_z,20,micro,0.45756718528995755,0.14109180780693464,0.21567864881382298,32.53829837379213,7
BEATs+DAPT,Mahalanobis_z,15,macro,0.34352972062756487,0.2381673114643095,0.24988579618415926,39.37985939033522,7
BEATs+DAPT,Mahalanobis_z,15,micro,0.4448373408769448,0.13716653340117757,0.2096783154619701,33.301909026632096,7
BEATs+DAPT,Mahalanobis_z,20,macro,0.40398168035461957,0.29280895875431273,0.30517678292672856,35.75338583358732,7
BEATs+DAPT,Mahalanobis_z,20,micro,0.5021216407355021,0.1548302682270844,0.23667981554530804,29.865661088852228,7
BEATs+DAPT,CCED2,15,macro,0.34847744396036007,0.24283886438492397,0.2545880146337796,39.0829959903675,7
BEATs+DAPT,CCED2,15,micro,0.4476661951909477,0.13803881660245693,0.21101172287349299,33.132217770445436,7
BEATs+DAPT,CCED2,20,macro,0.40815376624394845,0.2967053734771007,0.30910361372068784,35.503030725489204,7
BEATs+DAPT,CCED2,20,micro,0.5058934464875059,0.15599331249545687,0.23845769209400522,29.639406080603347,7
