encoder,score,tol,avg,P,R,F1,FP_h,n_species
Perch_2.0_win10,kNN_z,15,macro,0.203916,0.103336,0.114525,47.746438,7
Perch_2.0_win10,kNN_z,15,micro,0.565485,0.102837,0.174027,26.058601,7
Perch_2.0_win10,kNN_z,20,macro,0.233981,0.126849,0.138772,45.943466,7
Perch_2.0_win10,kNN_z,20,micro,0.611820,0.111264,0.188287,23.279773,7
Perch_2.0_win10,Mahalanobis_z,15,macro,0.184361,0.084716,0.095796,48.918824,7
Perch_2.0_win10,Mahalanobis_z,15,micro,0.550355,0.100086,0.169371,26.965974,7
Perch_2.0_win10,Mahalanobis_z,20,macro,0.222619,0.116422,0.128236,46.624295,7
Perch_2.0_win10,Mahalanobis_z,20,micro,0.599054,0.108942,0.184358,24.045369,7
Perch_2.0_win10,CCED2,15,macro,0.185925,0.085908,0.097030,48.825259,7
Perch_2.0_win10,CCED2,15,micro,0.554137,0.100774,0.170535,26.739130,7
Perch_2.0_win10,CCED2,20,macro,0.221559,0.115452,0.127256,46.688044,7
Perch_2.0_win10,CCED2,20,micro,0.598582,0.108856,0.184212,24.073724,7
