alpha,Recall,FP_h,theta,pctl,TP,FP
0.0,0.03975799481417459,9.8980044345898,1.4493495381541424,89.99999999999886,46,248
0.1,0.036300777873811585,10.137472283813748,1.4959835756366369,91.79999999999876,42,254
0.2,0.03457216940363008,9.977827050997783,1.5124368049895922,92.8999999999987,40,250
0.3,0.033707865168539325,9.937915742793793,1.5623796846771052,93.79999999999865,39,249
0.4,0.03197925669835782,10.137472283813748,1.5959496583431407,94.49999999999861,37,254
0.5,0.032843560933448576,10.057649667405766,1.6220494585059608,94.6999999999986,38,252
0.6,0.033707865168539325,10.057649667405766,1.701511308198709,95.19999999999857,39,252
0.7,0.03543647363872083,9.8980044345898,1.8048496807283052,95.59999999999854,41,248
0.8,0.03975799481417459,9.937915742793793,1.853074478871363,95.19999999999857,46,249
0.9,0.03975799481417459,9.977827050997783,1.974634641951238,95.19999999999857,46,250
1.0,0.043215211754537596,10.057649667405766,2.139488315581169,95.29999999999856,50,252
