encoder,score,tol,avg,P,R,F1,FP_h,n_species
BEATs+DAPT_fulldata,-kNN_z,15,macro,0.3545740842470983,0.24433141635455075,0.2565922823980901,38.71727246000919,7
BEATs+DAPT_fulldata,-kNN_z,15,micro,0.46157472890146156,0.1423275423420804,0.2175676426468137,32.29790242752769,7
BEATs+DAPT_fulldata,-kNN_z,20,macro,0.4148404477659541,0.30062635691218054,0.31333324810850266,35.10206947207599,7
BEATs+DAPT_fulldata,-kNN_z,20,micro,0.5188590287600189,0.1599912771679872,0.24456914273015168,28.86165448974782,7
BEATs+DAPT_fulldata,-Mahalanobis_z,15,macro,0.35684804856641156,0.24900035531634965,0.26099470506833466,38.580744736635225,7
BEATs+DAPT_fulldata,-Mahalanobis_z,15,micro,0.458981612446959,0.14152794940757432,0.21634535251958442,32.4534527456988,7
BEATs+DAPT_fulldata,-Mahalanobis_z,20,macro,0.416007976317777,0.30354770757472643,0.3160580139045831,35.031733188951904,7
BEATs+DAPT_fulldata,-Mahalanobis_z,20,micro,0.5146157472890146,0.1586828523660682,0.2425690316128674,29.11619137402781,7
BEATs+DAPT_fulldata,-CCED2_z,15,macro,0.3612293095291812,0.25209132328535644,0.26422952721287246,38.31795894308421,7
BEATs+DAPT_fulldata,-CCED2_z,15,micro,0.4662894860914663,0.14378134767754597,0.21978998833268515,32.015083667216594,7
BEATs+DAPT_fulldata,-CCED2_z,20,macro,0.41673923580911876,0.3033569012885463,0.31597017442192615,34.98794748368657,7
BEATs+DAPT_fulldata,-CCED2_z,20,micro,0.5212164073550212,0.16071817983572,0.24568031557308742,28.72024510959227,7
BEATs+DAPT_dapt_b_3ep,-kNN_z,15,macro,0.34839424226308585,0.23750892410185612,0.24984046994398804,39.08795813746557,7
BEATs+DAPT_dapt_b_3ep,-kNN_z,15,micro,0.4570957095709571,0.1409464272733881,0.21545641424523587,32.56658024982324,7
BEATs+DAPT_dapt_b_3ep,-kNN_z,20,macro,0.41255504298728685,0.29797472189983176,0.3107215026368233,35.23907393984246,7
BEATs+DAPT_dapt_b_3ep,-kNN_z,20,micro,0.5134370579915134,0.1583194010322018,0.24201344519139953,29.186896064105586,7
BEATs+DAPT_dapt_b_3ep,-Mahalanobis_z,15,macro,0.35361926233729035,0.24346940011726279,0.25571967013104835,38.77451684249008,7
BEATs+DAPT_dapt_b_3ep,-Mahalanobis_z,15,micro,0.466996699669967,0.14399941847786582,0.22012334018556587,31.972660853169927,7
BEATs+DAPT_dapt_b_3ep,-Mahalanobis_z,20,macro,0.41797463775061094,0.3033017606134557,0.3160590126512838,34.9139282087814,7
BEATs+DAPT_dapt_b_3ep,-Mahalanobis_z,20,micro,0.5271098538425271,0.16253543650505198,0.24845824768042668,28.366721659203392,7
BEATs+DAPT_dapt_b_3ep,-CCED2_z,15,macro,0.3528818670292094,0.24236402721576078,0.2546550598726368,38.81874558360574,7
BEATs+DAPT_dapt_b_3ep,-CCED2_z,15,micro,0.4667609618104668,0.14392672821109254,0.2200122229012723,31.98680179118548,7
BEATs+DAPT_dapt_b_3ep,-CCED2_z,20,macro,0.4168782359769078,0.30229666677535316,0.31504407115693117,34.97975724731118,7
BEATs+DAPT_dapt_b_3ep,-CCED2_z,20,micro,0.5271098538425271,0.16253543650505198,0.24845824768042668,28.366721659203392,7
BEATs+DAPT_continual_palaoa,-kNN_z,15,macro,0.35511520978822386,0.24487254189567628,0.25713340793921563,38.684804927541656,7
BEATs+DAPT_continual_palaoa,-kNN_z,15,micro,0.4618104667609618,0.14240023260885368,0.21767875993110725,32.28376148951214,7
BEATs+DAPT_continual_palaoa,-kNN_z,20,macro,0.4156730913660061,0.30145875088941265,0.31416576681465197,35.052125833442055,7
BEATs+DAPT_continual_palaoa,-kNN_z,20,micro,0.5195662423385196,0.16020934796830705,0.24490249458303243,28.819231675701154,7
BEATs+DAPT_continual_palaoa,-Mahalanobis_z,15,macro,0.3557319771378401,0.24788428388777822,0.25987863363976327,38.64770902234951,7
BEATs+DAPT_continual_palaoa,-Mahalanobis_z,15,micro,0.45874587458745875,0.14145525914080104,0.21623423523529087,32.467593683714355,7
BEATs+DAPT_continual_palaoa,-Mahalanobis_z,20,macro,0.41499445847345334,0.30253418973040286,0.3150444960602594,35.09254425961132,7
BEATs+DAPT_continual_palaoa,-Mahalanobis_z,20,micro,0.5146157472890146,0.1586828523660682,0.2425690316128674,29.11619137402781,7
BEATs+DAPT_continual_palaoa,-CCED2_z,15,macro,0.3614021313100432,0.2522636458205786,0.26440209920592916,38.30761959097089,7
BEATs+DAPT_continual_palaoa,-CCED2_z,15,micro,0.4662894860914663,0.14378134767754597,0.21978998833268515,32.015083667216594,7
BEATs+DAPT_continual_palaoa,-CCED2_z,20,macro,0.4174693258249231,0.3040867416815307,0.31670013954382775,34.94415706010751,7
BEATs+DAPT_continual_palaoa,-CCED2_z,20,micro,0.5216878830740217,0.16086356036926655,0.24590255014167456,28.691963233561157,7
