alpha,Recall,FP_h,theta,pctl,TP,FP
0.0,0.049265341400172864,10.017738359201772,0.9767069501288815,79.49999999999946,57,251
0.1,0.05445116681071737,9.97782705099778,1.496469432283228,90.29999999999885,63,250
0.2,0.04235090751944685,9.93791574279379,1.5293924616514298,91.89999999999876,49,249
0.3,0.05185825410544512,10.097560975609754,1.501875447485615,91.99999999999875,60,253
0.4,0.05445116681071737,10.057649667405762,1.5052363985044421,92.29999999999873,63,252
0.5,0.05790838375108038,10.017738359201772,1.5574105256876716,92.7999999999987,67,251
0.6,0.06136560069144339,9.97782705099778,1.6389897065080616,93.19999999999868,71,250
0.7,0.06222990492653414,10.097560975609754,1.766054652085397,93.89999999999864,72,253
0.8,0.06050129645635264,9.898004434589799,1.8977482687128187,94.29999999999862,70,248
0.9,0.07000864304235091,9.97782705099778,2.0209479402651236,94.39999999999861,81,250
1.0,0.07346585998271392,10.057649667405762,2.1653989906310245,94.39999999999861,85,252
