encoder,score,Recall,FP_h,TP,FP,theta,pctl
BEATs+DAPT_fulldata,kNN_z,0.05185825410544512,10.057649667405762,60,252,2.198331749439235,95.0
BEATs+DAPT_fulldata,Mahalanobis_z,0.07778738115816768,10.097560975609754,90,253,2.125377874374389,94.0
BEATs+DAPT_fulldata,CCED2_z,0.07433016421780467,9.778270509977824,86,245,2.1797095692157744,94.5
BEATs+DAPT_dapt_b_3ep,kNN_z,0.06309420916162489,9.738359201773834,73,244,2.208299291133879,95.0
BEATs+DAPT_dapt_b_3ep,Mahalanobis_z,0.08729472774416594,10.217294900221727,101,256,2.317110805511472,94.0
BEATs+DAPT_dapt_b_3ep,CCED2_z,0.07692307692307693,10.097560975609754,89,253,2.2165499782562255,94.0
BEATs+DAPT_continual_palaoa,kNN_z,0.05012964563526361,10.057649667405762,58,252,2.198359811305999,95.0
BEATs+DAPT_continual_palaoa,Mahalanobis_z,0.07778738115816768,10.017738359201772,90,251,2.1217944478988646,94.0
BEATs+DAPT_continual_palaoa,CCED2_z,0.07260155574762317,9.898004434589799,84,248,2.1796034681797027,94.5
Perch 2.0,kNN_z,0.0898876404494382,9.858093126385807,104,247,2.761591148376471,92.5
Perch 2.0,Mahalanobis_z,0.08124459809853068,10.3370288248337,94,259,3.2838020133972177,92.0
Perch 2.0,CCED2_z,0.08383751080380294,10.3370288248337,97,259,3.105922527313233,92.0
