encoder,score,tol,avg,P,R,F1,FP_h,n_species
BEATs+DAPT_fulldata,-kNN_z,15,macro,0.22808760683760684,0.008180656299747133,0.01579330451153472,3.296663709294145,10
BEATs+DAPT_fulldata,-kNN_z,15,micro,0.28,0.009943181818181818,0.019204389574759943,1.537001897533207,10
BEATs+DAPT_fulldata,-kNN_z,20,macro,0.29044871794871796,0.010423479012131009,0.02012270804555987,3.161984297716942,10
BEATs+DAPT_fulldata,-kNN_z,20,micro,0.3333333333333333,0.011837121212121212,0.022862368541380886,1.4231499051233396,10
BEATs+DAPT_fulldata,-Mahalanobis_z,15,macro,0.2530448717948718,0.013638836080103292,0.025639697732964938,2.9689528248044352,10
BEATs+DAPT_fulldata,-Mahalanobis_z,15,micro,0.29333333333333333,0.010416666666666666,0.02011888431641518,1.50853889943074,10
BEATs+DAPT_fulldata,-Mahalanobis_z,20,macro,0.32050213675213673,0.016138663587601743,0.030459987372234133,2.8187430766861876,10
BEATs+DAPT_fulldata,-Mahalanobis_z,20,micro,0.37333333333333335,0.013257575757575758,0.025605852766346596,1.3377609108159394,10
BEATs+DAPT_fulldata,-CCED2_z,15,macro,0.24193376068376068,0.013260048201315414,0.02490709700036421,2.9916800975317077,10
BEATs+DAPT_fulldata,-CCED2_z,15,micro,0.28,0.009943181818181818,0.019204389574759943,1.537001897533207,10
BEATs+DAPT_fulldata,-CCED2_z,20,macro,0.3031410256410257,0.015546656092609171,0.02931501550561278,2.854373575219912,10
BEATs+DAPT_fulldata,-CCED2_z,20,micro,0.3466666666666667,0.01231060606060606,0.023776863283036118,1.394686907020873,10
BEATs+DAPT_dapt_b_3ep,-kNN_z,15,macro,0.3265491452991453,0.017751043787533262,0.033445453027353564,2.722440460026977,10
BEATs+DAPT_dapt_b_3ep,-kNN_z,15,micro,0.21333333333333335,0.007575757575757576,0.014631915866483769,1.679316888045541,10
BEATs+DAPT_dapt_b_3ep,-kNN_z,20,macro,0.3465491452991453,0.01853229378753326,0.03494921242584981,2.675565460026977,10
BEATs+DAPT_dapt_b_3ep,-kNN_z,20,micro,0.22666666666666666,0.008049242424242424,0.015546410608139003,1.650853889943074,10
BEATs+DAPT_dapt_b_3ep,-Mahalanobis_z,15,macro,0.3227029914529915,0.01761894339123207,0.03319002518571883,2.7303664838050485,10
BEATs+DAPT_dapt_b_3ep,-Mahalanobis_z,15,micro,0.2,0.007102272727272727,0.013717421124828532,1.7077798861480076,10
BEATs+DAPT_dapt_b_3ep,-Mahalanobis_z,20,macro,0.40145299145299146,0.020599641820996085,0.038933346646375704,2.5514145291850374,10
BEATs+DAPT_dapt_b_3ep,-Mahalanobis_z,20,micro,0.26666666666666666,0.00946969696969697,0.01828989483310471,1.5654648956356736,10
BEATs+DAPT_dapt_b_3ep,-CCED2_z,15,macro,0.2438568376068376,0.013356408212322184,0.025091460089182126,2.9861185945396413,10
BEATs+DAPT_dapt_b_3ep,-CCED2_z,15,micro,0.18666666666666668,0.006628787878787879,0.012802926383173298,1.7362428842504745,10
BEATs+DAPT_dapt_b_3ep,-CCED2_z,20,macro,0.3102991452991453,0.015820057434688575,0.029841877834612247,2.838189592363488,10
BEATs+DAPT_dapt_b_3ep,-CCED2_z,20,micro,0.26666666666666666,0.00946969696969697,0.01828989483310471,1.5654648956356736,10
BEATs+DAPT_continual_palaoa,-kNN_z,15,macro,0.22808760683760684,0.008180656299747133,0.01579330451153472,3.296663709294145,10
BEATs+DAPT_continual_palaoa,-kNN_z,15,micro,0.28,0.009943181818181818,0.019204389574759943,1.537001897533207,10
BEATs+DAPT_continual_palaoa,-kNN_z,20,macro,0.29044871794871796,0.010423479012131009,0.02012270804555987,3.161984297716942,10
BEATs+DAPT_continual_palaoa,-kNN_z,20,micro,0.3333333333333333,0.011837121212121212,0.022862368541380886,1.4231499051233396,10
BEATs+DAPT_continual_palaoa,-Mahalanobis_z,15,macro,0.2530448717948718,0.013638836080103292,0.025639697732964938,2.9689528248044352,10
BEATs+DAPT_continual_palaoa,-Mahalanobis_z,15,micro,0.29333333333333333,0.010416666666666666,0.02011888431641518,1.50853889943074,10
BEATs+DAPT_continual_palaoa,-Mahalanobis_z,20,macro,0.32050213675213673,0.016138663587601743,0.030459987372234133,2.8187430766861876,10
BEATs+DAPT_continual_palaoa,-Mahalanobis_z,20,micro,0.37333333333333335,0.013257575757575758,0.025605852766346596,1.3377609108159394,10
BEATs+DAPT_continual_palaoa,-CCED2_z,15,macro,0.24193376068376068,0.013260048201315414,0.02490709700036421,2.9916800975317077,10
BEATs+DAPT_continual_palaoa,-CCED2_z,15,micro,0.28,0.009943181818181818,0.019204389574759943,1.537001897533207,10
BEATs+DAPT_continual_palaoa,-CCED2_z,20,macro,0.3031410256410257,0.015546656092609171,0.02931501550561278,2.854373575219912,10
BEATs+DAPT_continual_palaoa,-CCED2_z,20,micro,0.3466666666666667,0.01231060606060606,0.023776863283036118,1.394686907020873,10
