pctl,theta,Recall,FP_h,TP,FP,Pred
50.0,0.1126888357102871,0.5082108902333622,40.58980044345897,588,1017,1605
50.5,0.1364716307818889,0.5099394987035436,40.66962305986696,590,1019,1609
51.0,0.15598108872771266,0.5116681071737251,40.470066518847,592,1014,1606
51.5,0.17689920403063308,0.5133967156439067,40.50997782705099,594,1015,1609
52.0,0.1971105712652206,0.5168539325842697,39.91130820399112,598,1000,1598
52.5,0.21920511089265368,0.5211754537597234,39.83148558758314,603,998,1601
53.0,0.24245162338018425,0.5246326707000865,39.67184035476718,607,994,1601
53.5,0.2663310308754444,0.5246326707000865,39.51219512195121,607,990,1597
54.0,0.2914988309144984,0.526361279170268,40.0310421286031,609,1003,1612
54.5,0.31505726248025917,0.526361279170268,39.91130820399112,609,1000,1609
55.0,0.3389676302671434,0.5298184961106309,39.51219512195121,613,990,1603
55.5,0.3645749361813069,0.5315471045808124,39.192904656319286,615,982,1597
56.0,0.39140142560005203,0.5315471045808124,38.833702882483365,615,973,1588
56.5,0.41504099562764146,0.5315471045808124,38.594235033259416,615,967,1582
57.0,0.44056806743144966,0.5350043215211755,38.554323725055426,619,966,1585
57.5,0.4665187224745748,0.5350043215211755,38.314855875831476,619,960,1579
58.0,0.49211507201194743,0.5367329299913569,38.35476718403547,621,961,1582
58.5,0.5186520197987549,0.5358686257562663,37.955654101995556,620,951,1571
59.0,0.5464034575223923,0.5375972342264477,37.596452328159636,622,942,1564
59.5,0.5741815111041066,0.5427830596369922,37.396895787139684,628,937,1565
60.0,0.602006649971008,0.543647363872083,36.718403547671834,629,920,1549
60.5,0.6302199316024781,0.5453759723422644,36.399113082039904,631,912,1543
61.0,0.6561722189188003,0.5445116681071738,36.079822616407974,630,904,1534
61.5,0.6826673725247377,0.5479688850475367,36.35920177383591,634,911,1545
62.0,0.7107366490364079,0.547104580812446,36.079822616407974,633,904,1537
62.5,0.737912654876709,0.5488331892826275,35.92017738359201,635,900,1535
63.0,0.7680372673273086,0.5488331892826275,35.32150776053214,635,885,1520
63.5,0.7972364473342896,0.5479688850475367,35.16186252771618,634,881,1515
64.0,0.8321610045433045,0.547104580812446,35.08203991130819,633,879,1512
64.5,0.8608802255988119,0.5479688850475367,34.52328159645232,634,865,1499
65.0,0.8902365356683731,0.550561797752809,33.88470066518846,637,849,1486
65.5,0.9228596609830857,0.550561797752809,33.64523281596452,637,843,1480
66.0,0.9532556581497192,0.5514261019878998,33.48558758314855,638,839,1477
66.5,0.9844838508963588,0.5488331892826275,32.92682926829268,635,825,1460
67.0,1.0214711737632753,0.5462402765773552,32.44789356984478,632,813,1445
67.5,1.056541234254837,0.5453759723422644,31.769401330376933,631,796,1427
68.0,1.091493272781373,0.5445116681071738,31.330376940133032,630,785,1415
68.5,1.1286953216791158,0.5453759723422644,31.29046563192904,631,784,1415
69.0,1.1658565902709959,0.5445116681071738,30.811529933481147,630,772,1402
69.5,1.2006365740299223,0.5488331892826275,30.691796008869172,635,769,1404
70.0,1.2379778504371641,0.5514261019878998,29.93348115299334,638,750,1388
70.5,1.2782547640800472,0.5496974935177182,29.414634146341456,636,737,1373
71.0,1.3132779443264007,0.5531547104580813,29.05543237250554,640,728,1368
71.5,1.3467540919780732,0.554019014693172,28.45676274944567,641,713,1354
72.0,1.3851816272735595,0.5583405358686258,27.618625277161858,646,692,1338
72.5,1.4283241450786588,0.5548833189282627,26.70066518847006,642,669,1311
73.0,1.4719336390495297,0.554019014693172,26.181818181818176,641,656,1297
73.5,1.5129140764474869,0.5531547104580813,25.862527716186246,640,648,1288
74.0,1.5557089257240297,0.5496974935177182,25.423503325942345,636,637,1273
74.5,1.6037367117404933,0.547104580812446,24.78492239467849,633,621,1254
75.0,1.650279551744461,0.543647363872083,23.946784922394674,629,600,1229
75.5,1.6946542859077454,0.5367329299913569,23.308203991130817,621,584,1205
76.0,1.7346343135833726,0.5246326707000865,23.028824833702878,607,577,1184
76.5,1.7952307385206223,0.5229040622299049,22.789356984478932,605,571,1176
77.0,1.8491930890083312,0.5246326707000865,21.552106430155206,607,540,1147
77.5,1.9030657231807706,0.5237683664649957,20.833702882483365,606,522,1128
78.0,1.9632949090003973,0.5254969749351772,20.15521064301552,608,505,1113
78.5,2.0373529839515694,0.5229040622299049,19.356984478935694,605,485,1090
79.0,2.119661419391632,0.5194468452895419,18.47893569844789,601,463,1064
79.5,2.197849078178406,0.5185825410544511,18.11973392461197,600,454,1054
80.0,2.272336244583131,0.5142610198789974,17.680709534368066,595,443,1038
80.5,2.355284509658813,0.5125324114088159,17.00221729490022,593,426,1019
81.0,2.4388973474502573,0.5133967156439067,16.523281596452325,594,414,1008
81.5,2.533087902069089,0.5108038029386344,16.36363636363636,591,410,1001
82.0,2.6276679706573485,0.5056179775280899,15.725055432372502,585,394,979
82.5,2.7285912334918976,0.5012964563526361,15.126385809312636,580,379,959
83.0,2.829360661506653,0.49870354364736386,14.647450110864742,577,367,944
83.5,2.9394877362251286,0.4943820224719101,13.929046563192902,572,349,921
84.0,3.0609010696411083,0.4874675885911841,13.649667405764964,564,342,906
84.5,3.1872782814502707,0.48660328435609335,13.090909090909088,563,328,891
85.0,3.3059927582740793,0.4822817631806396,12.77161862527716,558,320,878
85.5,3.432763394117354,0.47968885047536736,12.212860310421284,555,306,861
86.0,3.545539817810058,0.4675885911840968,11.933481152993346,541,299,840
86.5,3.694028666019441,0.45980985306828004,11.294900221729488,532,283,815
87.0,3.844329929351803,0.45375972342264476,10.69623059866962,525,268,793
87.5,3.985212206840515,0.4399308556611927,10.25720620842572,509,257,766
88.0,4.15787353515625,0.4338807260155575,9.778270509977824,502,245,747
88.5,4.354272906780241,0.43042350907519444,9.219512195121949,498,231,729
89.0,4.54263665676117,0.4243733794295592,8.940133037694011,491,224,715
89.5,4.73516490459443,0.4157303370786517,8.14190687361419,481,204,685
90.0,4.9309832572937005,0.4062229904926534,7.2239467849223935,470,181,651
90.5,5.135387425422671,0.3975799481417459,6.705099778270508,460,168,628
91.0,5.355642166137698,0.38720829732065687,6.38580931263858,448,160,608
91.5,5.5471921396255475,0.36992221261884184,6.42572062084257,428,161,589
92.0,5.6913404846191415,0.34572169403630076,5.986696230598668,400,150,550
92.5,5.925092720985414,0.3232497839239412,5.627494456762748,374,141,515
93.0,6.255264511108398,0.3025064822817632,5.188470066518846,350,130,480
93.5,6.665093977451326,0.2843560933448574,4.829268292682926,329,121,450
94.0,7.230382566452026,0.2783059636992221,4.310421286031041,322,108,430
94.5,7.782752974033358,0.2636127917026793,3.91130820399113,305,98,403
95.0,8.298830270767182,0.23854796888504753,3.4323725055432366,276,86,362
95.5,9.15174303054808,0.21694036300777875,3.1529933481152987,251,79,330
96.0,10.260608634948738,0.19273984442523767,2.6341463414634143,223,66,289
96.5,11.446202530860893,0.1676750216076059,2.4745011086474498,194,62,256
