pctl,theta,Recall,FP_h,TP,FP,Pred
80.0,1.2245873451232918,0.18668971477960242,27.658536585365848,216,693,909
80.5,1.2477988636493682,0.18755401901469318,27.179600886917953,217,681,898
81.0,1.2702987802028658,0.18668971477960242,26.860310421286027,216,673,889
81.5,1.2931638783216475,0.18409680207433016,26.541019955654097,213,665,878
82.0,1.3158086013793946,0.17718236819360414,26.101995565410196,205,654,859
82.5,1.33856041431427,0.17545375972342264,25.343680709534365,203,635,838
83.0,1.3664089465141294,0.17458945548833188,25.104212860310415,202,629,831
83.5,1.390951914191246,0.17199654278305965,24.705099778270505,199,619,818
84.0,1.4156319046020505,0.1694036300777874,24.385809312638575,196,611,807
84.5,1.443238352537155,0.16853932584269662,23.78713968957871,195,596,791
85.0,1.4699141681194308,0.1633535004321521,23.268292682926823,189,583,772
85.5,1.4963680660724634,0.1547104580812446,23.028824833702878,179,577,756
86.0,1.5237557172775267,0.14693171996542784,22.949002217294897,170,575,745
86.5,1.5488369435071945,0.14520311149524634,22.07095343680709,168,553,721
87.0,1.5756132304668424,0.14433880726015558,21.472283813747225,167,538,705
87.5,1.601889207959175,0.14261019878997408,20.99334811529933,165,526,691
88.0,1.6314807462692262,0.13569576490924806,20.51441241685144,157,514,671
88.5,1.662876499891281,0.12964563526361278,19.91574279379157,150,499,649
89.0,1.694518872499466,0.12273120138288678,19.037694013303767,142,477,619
89.5,1.7258851736783989,0.11581676750216076,18.279379157427933,134,458,592
90.0,1.756882655620575,0.11063094209161625,17.48115299334811,128,438,566
90.5,1.7965000689029695,0.10717372515125324,16.842572062084255,124,422,546
91.0,1.8336732983589183,0.10285220397579949,16.04434589800443,119,402,521
91.5,1.8749661624431608,0.09939498703543648,14.807095343680707,115,371,486
92.0,1.9201212596893311,0.09593777009507347,14.288248337028822,111,358,469
92.5,1.960921710729599,0.09248055315471046,13.490022172948999,107,338,445
93.0,2.008051438331604,0.0881590319792567,12.45232815964523,102,312,414
93.5,2.0615370023250583,0.08383751080380294,11.574279379157426,97,290,387
94.0,2.114409327507019,0.07865168539325842,10.776053215077603,91,270,361
94.5,2.1797095692157744,0.07433016421780467,9.778270509977824,86,245,331
95.0,2.251587164402007,0.06395851339671564,8.620842572062083,74,216,290
95.5,2.32721175789833,0.058772687986171135,7.862527716186251,68,197,265
96.0,2.4108684253692627,0.05704407951598963,6.625277161862527,66,166,232
96.5,2.521473821401592,0.04840103716508211,5.667405764966739,56,142,198
97.0,2.663869140148163,0.043215211754537596,4.669623059866962,50,117,167
97.5,2.8234680831432355,0.036300777873811585,3.7117516629711744,42,93,135
98.0,3.0056981754302945,0.03025064822817632,3.0332594235033254,35,76,111
98.5,3.26051223039627,0.024200518582541054,2.1552106430155207,28,54,82
99.0,3.6778349876403973,0.015557476231633534,1.1175166297117514,18,28,46
99.5,5.231658468246424,0.001728608470181504,0.8780487804878047,2,22,24
