theta,TP,FP,FN,n_pred,recall,fp_h,precision
-2.0,103,140,1054,243,0.08902333621434745,5.587583148558757,0.42386831275720166
-1.8,119,194,1038,313,0.10285220397579949,7.742793791574278,0.3801916932907348
-1.6,148,267,1009,415,0.12791702679343128,10.65631929046563,0.3566265060240964
-1.4,231,391,926,622,0.1996542783059637,15.605321507760529,0.37138263665594856
-1.2,289,488,868,777,0.2497839239412273,19.476718403547668,0.37194337194337196
-1.0,383,706,774,1089,0.331028522039758,28.177383592017733,0.3516988062442608
-0.8,433,836,724,1269,0.3742437337942956,33.36585365853658,0.3412135539795114
-0.6,482,934,675,1416,0.41659464131374246,37.277161862527706,0.3403954802259887
-0.4,524,980,633,1504,0.452895419187554,39.1130820399113,0.3484042553191489
-0.2,561,1021,596,1582,0.4848746758859118,40.74944567627494,0.35461441213653605
0.0,587,1019,570,1606,0.5073465859982714,40.66962305986696,0.3655043586550436
0.5,626,951,531,1577,0.5410544511668107,37.955654101995556,0.3969562460367787
0.6,635,922,522,1557,0.5488331892826275,36.798226164079814,0.40783558124598585
0.7,635,906,522,1541,0.5488331892826275,36.159645232815954,0.41207008436080467
0.8,648,845,509,1493,0.5600691443388073,33.7250554323725,0.43402545210984594
0.9,649,804,508,1453,0.560933448573898,32.08869179600886,0.44666207845836203
1.0,641,766,516,1407,0.554019014693172,30.5720620842572,0.45557924662402277
1.1,614,698,543,1312,0.5306828003457217,27.858093126385803,0.4679878048780488
1.2,596,652,561,1248,0.5151253241140882,26.02217294900221,0.4775641025641026
1.3,585,598,572,1183,0.5056179775280899,23.866962305986693,0.4945054945054945
1.4,583,564,574,1147,0.5038893690579084,22.509977827050992,0.5082824760244115
1.5,564,528,593,1092,0.4874675885911841,21.073170731707314,0.5164835164835165
1.6,485,492,672,977,0.4191875540190147,19.636363636363633,0.49641760491299897
1.7,443,449,714,892,0.3828867761452031,17.920177383592016,0.4966367713004484
1.8,420,429,737,849,0.3630077787381158,17.12195121951219,0.49469964664310956
1.9,416,402,741,818,0.3595505617977528,16.04434589800443,0.508557457212714
2.0,415,385,742,800,0.35868625756266204,15.365853658536583,0.51875
2.1,406,364,751,770,0.3509075194468453,14.52771618625277,0.5272727272727272
2.2,400,347,757,747,0.34572169403630076,13.84922394678492,0.535475234270415
2.3,397,325,760,722,0.34312878133102853,12.971175166297115,0.5498614958448753
2.4,392,304,765,696,0.3388072601555748,12.133037694013302,0.5632183908045977
2.5,388,284,769,672,0.3353500432152118,11.334811529933479,0.5773809523809523
2.6,378,259,779,637,0.3267070008643042,10.3370288248337,0.5934065934065934
2.7,369,240,788,609,0.31892826274848746,9.578713968957869,0.6059113300492611
2.8,363,225,794,588,0.31374243733794294,8.980044345898003,0.6173469387755102
2.9,350,214,807,564,0.3025064822817632,8.5410199556541,0.6205673758865248
3.0,341,202,816,543,0.29472774416594644,8.062084257206207,0.6279926335174953
3.1,328,191,829,519,0.28349178910976663,7.623059866962304,0.6319845857418112
3.2,322,180,835,502,0.2783059636992221,7.184035476718402,0.6414342629482072
3.3,311,171,846,482,0.26879861711322384,6.824833702882482,0.6452282157676349
3.4,291,164,866,455,0.2515125324114088,6.545454545454544,0.6395604395604395
3.5,276,156,881,432,0.23854796888504753,6.226164079822615,0.6388888888888888
3.6,254,152,903,406,0.219533275713051,6.066518847006651,0.625615763546798
3.7,245,140,912,385,0.21175453759723423,5.587583148558757,0.6363636363636364
3.8,245,132,912,377,0.21175453759723423,5.268292682926829,0.649867374005305
3.9,246,121,911,367,0.212618841832325,4.829268292682926,0.670299727520436
4.0,241,118,916,359,0.20829732065687123,4.709534368070952,0.6713091922005571
4.1,234,119,923,353,0.20224719101123595,4.749445676274943,0.6628895184135978
4.2,228,116,929,344,0.19706136560069146,4.62971175166297,0.6627906976744186
4.3,222,109,935,331,0.19187554019014694,4.350332594235033,0.6706948640483383
4.4,215,108,942,323,0.18582541054451165,4.310421286031041,0.6656346749226006
4.5,207,105,950,312,0.17891097666378566,4.190687361419068,0.6634615384615384
4.6,196,105,961,301,0.1694036300777874,4.190687361419068,0.6511627906976745
4.7,190,103,967,293,0.16421780466724287,4.110864745011086,0.6484641638225256
4.8,185,101,972,286,0.1598962834917891,4.0310421286031035,0.6468531468531469
4.9,175,98,982,273,0.1512532411408816,3.91130820399113,0.6410256410256411
5.0,173,96,984,269,0.1495246326707001,3.8314855875831477,0.6431226765799256
5.1,165,92,992,257,0.14261019878997408,3.671840354767183,0.642023346303502
5.2,157,91,1000,248,0.13569576490924806,3.6319290465631924,0.6330645161290323
5.3,140,89,1017,229,0.12100259291270528,3.55210643015521,0.611353711790393
5.4,139,88,1018,227,0.12013828867761452,3.5121951219512186,0.6123348017621145
5.5,136,83,1021,219,0.11754537597234227,3.3126385809312633,0.6210045662100456
5.6,136,80,1021,216,0.11754537597234227,3.19290465631929,0.6296296296296297
5.7,132,78,1025,210,0.11408815903197926,3.1130820399113075,0.6285714285714286
5.8,131,79,1026,210,0.1132238547968885,3.1529933481152987,0.6238095238095238
5.9,130,76,1027,206,0.11235955056179775,3.0332594235033254,0.6310679611650486
6.0,127,74,1030,201,0.1097666378565255,2.953436807095343,0.6318407960199005
