theta,TP,FP,FN,n_pred,recall,precision,fp_h
0.0,569,1022,588,1591,0.49178910976663787,0.35763670647391577,40.78935698447893
0.2,599,1000,558,1599,0.5177182368193605,0.37460913070669166,39.91130820399112
0.4,615,972,542,1587,0.5315471045808124,0.387523629489603,38.79379157427937
0.6,628,924,529,1552,0.5427830596369922,0.40463917525773196,36.878048780487795
0.8,633,882,524,1515,0.547104580812446,0.4178217821782178,35.20177383592017
1.0,634,813,523,1447,0.5479688850475367,0.43814789219073946,32.44789356984478
1.2,635,769,522,1404,0.5488331892826275,0.45227920227920226,30.691796008869172
1.4,645,685,512,1330,0.557476231633535,0.4849624060150376,27.339246119733918
1.6,634,623,523,1257,0.5479688850475367,0.5043754972155927,24.86474501108647
1.8,605,566,552,1171,0.5229040622299049,0.5166524338172502,22.589800443458977
2.0,607,496,550,1103,0.5246326707000865,0.5503173164097914,19.796008869179598
2.2,600,454,557,1054,0.5185825410544511,0.5692599620493358,18.11973392461197
2.4,593,421,564,1014,0.5125324114088159,0.5848126232741617,16.802660753880264
2.6,587,396,570,983,0.5073465859982714,0.5971515768056969,15.804878048780484
2.8,577,369,580,946,0.49870354364736386,0.6099365750528541,14.727272727272725
3.0,568,342,589,910,0.4909248055315471,0.6241758241758242,13.649667405764964
3.2,564,329,593,893,0.4874675885911841,0.631578947368421,13.130820399113079
3.4,556,309,601,865,0.48055315471045806,0.6427745664739885,12.332594235033257
3.6,539,293,618,832,0.4658599827139153,0.6478365384615384,11.694013303769399
3.8,527,276,630,803,0.4554883318928263,0.6562889165628891,11.01552106430155
4.0,509,256,648,765,0.4399308556611927,0.665359477124183,10.217294900221727
4.2,497,239,660,736,0.42955920484010374,0.6752717391304348,9.538802660753879
4.4,497,228,660,725,0.42955920484010374,0.6855172413793104,9.099778270509976
4.6,488,217,669,705,0.42178046672428693,0.6921985815602837,8.660753880266073
4.8,478,196,679,674,0.4131374243733794,0.7091988130563798,7.82261640798226
5.0,465,177,692,642,0.40190146931719967,0.7242990654205608,7.0643015521064285
5.2,457,168,700,625,0.3949870354364736,0.7312,6.705099778270508
5.4,445,161,712,606,0.38461538461538464,0.7343234323432343,6.42572062084257
5.6,421,157,736,578,0.36387208297320656,0.7283737024221453,6.266075388026606
5.8,379,144,778,523,0.32757130509939497,0.7246653919694073,5.747228381374722
6.0,370,141,787,511,0.3197925669835782,0.7240704500978473,5.627494456762748
6.5,336,123,821,459,0.2904062229904927,0.7320261437908496,4.909090909090908
7.0,325,116,832,441,0.2808988764044944,0.7369614512471655,4.62971175166297
7.5,319,106,838,425,0.2757130509939499,0.7505882352941177,4.230598669623059
8.0,298,95,859,393,0.2575626620570441,0.7582697201017812,3.7915742793791565
8.5,274,85,883,359,0.23681936041486604,0.7632311977715878,3.3924611973392453
9.0,258,81,899,339,0.222990492653414,0.7610619469026548,3.232815964523281
9.5,238,75,919,313,0.20570440795159897,0.7603833865814696,2.993348115299334
10.0,226,68,931,294,0.19533275713050993,0.7687074829931972,2.7139689578713964
10.5,219,65,938,284,0.18928262748487468,0.7711267605633803,2.594235033259423
11.0,206,62,951,268,0.1780466724286949,0.7686567164179104,2.4745011086474498
11.5,191,62,966,253,0.16508210890233363,0.7549407114624506,2.4745011086474498
12.0,183,61,974,244,0.1581676750216076,0.75,2.4345898004434585
12.5,179,55,978,234,0.1547104580812446,0.7649572649572649,2.195121951219512
13.0,177,55,980,232,0.1529818496110631,0.7629310344827587,2.195121951219512
13.5,172,55,985,227,0.14866032843560933,0.7577092511013216,2.195121951219512
14.0,172,52,985,224,0.14866032843560933,0.7678571428571429,2.075388026607538
14.5,171,52,986,223,0.14779602420051857,0.7668161434977578,2.075388026607538
15.0,169,54,988,223,0.14606741573033707,0.757847533632287,2.1552106430155207
15.5,164,52,993,216,0.14174589455488332,0.7592592592592593,2.075388026607538
16.0,161,52,996,213,0.13915298184961106,0.755868544600939,2.075388026607538
16.5,158,49,999,207,0.1365600691443388,0.7632850241545893,1.955654101995565
17.0,153,46,1004,199,0.13223854796888504,0.7688442211055276,1.8359201773835916
17.5,145,46,1012,191,0.12532411408815902,0.7591623036649214,1.8359201773835916
18.0,140,42,1017,182,0.12100259291270528,0.7692307692307693,1.676274944567627
18.5,139,41,1018,180,0.12013828867761452,0.7722222222222223,1.636363636363636
19.0,132,39,1025,171,0.11408815903197926,0.7719298245614035,1.5565410199556537
19.5,124,37,1033,161,0.10717372515125324,0.7701863354037267,1.4767184035476715
20.0,116,33,1041,149,0.10025929127052723,0.7785234899328859,1.3170731707317072
