species,N,seed,auc_mean,auc_std,n_folds_used,n_pos_total
Minke whale,10,0,0.8904393201073013,0.028062373825825427,5,1094
Minke whale,10,1,0.9089395470100745,0.015784112269341743,5,1094
Minke whale,10,2,0.9044538394479092,0.021074256741850313,5,1094
Minke whale,10,3,0.8967210910859977,0.026552961108968477,5,1094
Minke whale,10,4,0.9030706735663061,0.02370503086870504,5,1094
Minke whale,30,0,0.9315546217053929,0.0201012391212388,5,1094
Minke whale,30,1,0.9291112379653914,0.007849805007445077,5,1094
Minke whale,30,2,0.9264786193638933,0.010274781064671452,5,1094
Minke whale,30,3,0.9212151818889989,0.021502716586371668,5,1094
Minke whale,30,4,0.9274145068229286,0.013332249405959588,5,1094
Minke whale,100,0,0.9469786578667516,0.013671365431915765,5,1094
Minke whale,100,1,0.9523244910618057,0.0048429004154803765,5,1094
Minke whale,100,2,0.9548583067610339,0.007235968829981181,5,1094
Minke whale,100,3,0.9453201611280582,0.0116583187641774,5,1094
Minke whale,100,4,0.94791291958028,0.01514064325795098,5,1094
Minke whale,300,0,0.9657972385187807,0.00540249781436076,5,1094
Minke whale,300,1,0.9627000583357408,0.0071125022958404265,5,1094
Minke whale,300,2,0.9655460868786792,0.0053135678101984465,5,1094
Minke whale,300,3,0.9635428968992968,0.009147391335940672,5,1094
Minke whale,300,4,0.9666453369105514,0.004096275532161016,5,1094
Minke whale,1000,0,0.9772425968875638,0.002228817366814372,5,1094
Minke whale,1000,1,0.9772425968875638,0.002228817366814372,5,1094
Minke whale,1000,2,0.9772425968875638,0.002228817366814372,5,1094
Minke whale,1000,3,0.9772425968875638,0.002228817366814372,5,1094
Minke whale,1000,4,0.9772425968875638,0.002228817366814372,5,1094
Minke whale,all,0,0.9772425968875638,0.002228817366814372,5,1094
Sperm whale,10,0,0.6537072855175128,0.04372061211074202,5,1375
Sperm whale,10,1,0.6463788911845729,0.06334086161169931,5,1375
Sperm whale,10,2,0.5932259887839433,0.026042868378641938,5,1375
Sperm whale,10,3,0.5904152499016135,0.031922798134039296,5,1375
Sperm whale,10,4,0.6142114079102716,0.04035661781798821,5,1375
Sperm whale,30,0,0.6877590613931522,0.028794914826480108,5,1375
Sperm whale,30,1,0.6875036550570642,0.04719392524017355,5,1375
Sperm whale,30,2,0.717306562377017,0.0425637992086789,5,1375
Sperm whale,30,3,0.7104526269185361,0.03439573227601616,5,1375
Sperm whale,30,4,0.7107729978354977,0.0454942512096104,5,1375
Sperm whale,100,0,0.8021537337662338,0.04397438848518001,5,1375
Sperm whale,100,1,0.8054761658795749,0.022709679056582006,5,1375
Sperm whale,100,2,0.8072412485242031,0.042868789579709694,5,1375
Sperm whale,100,3,0.8132603158205433,0.012472702203547842,5,1375
Sperm whale,100,4,0.7928241833923652,0.017689152487268055,5,1375
Sperm whale,300,0,0.8674610340417159,0.02669839372167098,5,1375
Sperm whale,300,1,0.86615091991342,0.015795477805279057,5,1375
Sperm whale,300,2,0.8768906532861079,0.017579662287840647,5,1375
Sperm whale,300,3,0.8736200757575757,0.017794676408883835,5,1375
Sperm whale,300,4,0.8724902302243212,0.021834189546613335,5,1375
Sperm whale,1000,0,0.9177704496261313,0.014847684501390701,5,1375
Sperm whale,1000,1,0.9167820444706809,0.013129184632853008,5,1375
Sperm whale,1000,2,0.9158000000000002,0.014085601756097651,5,1375
Sperm whale,1000,3,0.9164687475403385,0.015129482512951146,5,1375
Sperm whale,1000,4,0.9163953758362849,0.0150188105128944,5,1375
Sperm whale,all,0,0.9187005116096026,0.015154259682240817,5,1375
False killer whale,10,0,0.8743300435767323,0.0446519414266093,5,753
False killer whale,10,1,0.8444049367850692,0.059486020415102744,5,753
False killer whale,10,2,0.8860563662882373,0.022469494707378235,5,753
False killer whale,10,3,0.8738478032453199,0.04815815040772733,5,753
False killer whale,10,4,0.8914749881740776,0.03775599819905751,5,753
False killer whale,30,0,0.9251360568791032,0.020682656730044647,5,753
