species,N,auc_mean,auc_std,n_seeds,n_pos_total
Minke whale,10,0.9007248942435178,0.00722342903473562,5,1094
Minke whale,30,0.9271548335493212,0.0038402412599046853,5,1094
Minke whale,100,0.949478907279586,0.003969698351141982,5,1094
Minke whale,300,0.9648463235086098,0.0016534609512444238,5,1094
Minke whale,1000,0.9772425968875638,0.0,5,1094
Minke whale,all,0.9772425968875638,,1,1094
Sperm whale,10,0.6195877646595829,0.029397237202541643,5,1375
Sperm whale,30,0.7027589807162535,0.014078097661948914,5,1375
Sperm whale,100,0.8041911294765841,0.007526007079873244,5,1375
Sperm whale,300,0.8713225826446281,0.004452609885250851,5,1375
Sperm whale,1000,0.9166433234946872,0.0007233267151156695,5,1375
Sperm whale,all,0.9187005116096026,,1,1375
False killer whale,10,0.8740228276138872,0.01821214178488448,5,753
False killer whale,30,0.9295580290129296,0.005417840215037605,5,753
False killer whale,100,0.9657347948023279,0.00204276986643303,5,753
False killer whale,300,0.98243661405923,0.00217513901661954,5,753
False killer whale,1000,0.9891481544393796,0.0,5,753
False killer whale,all,0.9891481544393796,,1,753
Short-finned pilot whale,10,0.9686455802908162,0.005325980210674578,5,234
Short-finned pilot whale,30,0.9887747128180177,0.003839923726308932,5,234
Short-finned pilot whale,100,0.9945652266520097,0.0017111638491201769,5,234
Short-finned pilot whale,300,0.9958552524217996,0.0,5,234
Short-finned pilot whale,1000,0.9958552524217996,0.0,5,234
Short-finned pilot whale,all,0.9958552524217996,,1,234
Rough-toothed dolphin,10,0.9356619124922696,0.019390632574635445,5,105
Rough-toothed dolphin,30,0.9735608122036693,0.002287721020489352,5,105
Rough-toothed dolphin,100,0.9839583977530406,0.0,5,105
Rough-toothed dolphin,300,0.9839583977530406,0.0,5,105
Rough-toothed dolphin,1000,0.9839583977530406,0.0,5,105
Rough-toothed dolphin,all,0.9839583977530406,,1,105
Offshore spotted dolphin,10,0.8442908008658009,0.027325082143254617,5,123
Offshore spotted dolphin,30,0.9118666125541125,0.010270932583511635,5,123
Offshore spotted dolphin,100,0.961730248917749,0.0,5,123
Offshore spotted dolphin,300,0.961730248917749,0.0,5,123
Offshore spotted dolphin,1000,0.961730248917749,0.0,5,123
Offshore spotted dolphin,all,0.961730248917749,,1,123
Striped dolphin,10,0.8317536362026339,0.023779873482109536,5,261
Striped dolphin,30,0.9079469252249324,0.010216175507759367,5,261
Striped dolphin,100,0.9498526097526687,0.0029016484924043046,5,261
Striped dolphin,300,0.9660837869873837,0.0,5,261
Striped dolphin,1000,0.9660837869873837,0.0,5,261
Striped dolphin,all,0.9660837869873837,,1,261
