species,N_days,seed,auc_mean,auc_std,n_folds_used,n_pos_days_total,n_days_used_median
Minke whale,1,0,0.8332960384202245,0.09661409519665055,3,8,1
Minke whale,1,1,0.899299120798303,0.05582558119361343,3,8,1
Minke whale,1,2,0.8420191979294268,0.09740610505489587,3,8,1
Minke whale,1,3,0.810732006052492,0.07384571989110263,3,8,1
Minke whale,1,4,0.8361088788230342,0.02059536718131386,3,8,1
Minke whale,1,5,0.9411517410659002,0.014250242816414642,3,8,1
Minke whale,1,6,0.8365333216510354,0.019268498675274214,3,8,1
Minke whale,1,7,0.9212623543797939,0.06225914457689096,3,8,1
Minke whale,1,8,0.9080222803075054,0.046028801804268916,3,8,1
Minke whale,1,9,0.8244863881734384,0.07847997662548178,3,8,1
Minke whale,2,0,0.9363394609944349,0.030087782510409954,3,8,2
Minke whale,2,1,0.9193651159016948,0.04156091980193326,3,8,2
Minke whale,2,2,0.9086195811457717,0.04401221000602687,3,8,2
Minke whale,2,3,0.8799318223260121,0.07235109107915887,3,8,2
Minke whale,2,4,0.8901942308856595,0.05833358579171257,3,8,2
Minke whale,2,5,0.889485758931329,0.07715593128148653,3,8,2
Minke whale,2,6,0.9329834099311509,0.031889786285415105,3,8,2
Minke whale,2,7,0.9447485288816826,0.01918090285352382,3,8,2
Minke whale,2,8,0.9363413070007062,0.018738128041068766,3,8,2
Minke whale,2,9,0.9185864508722976,0.07303257736497656,3,8,2
Minke whale,4,0,0.9640208780132745,0.013210435925101453,3,8,4
Minke whale,4,1,0.9557255884711428,0.03472776621793681,3,8,4
Minke whale,4,2,0.9237062683335214,0.031700226682493435,3,8,4
Minke whale,4,3,0.9671258255686711,0.0018170012327789506,3,8,4
Minke whale,4,4,0.9457788625625856,0.040464826504452794,3,8,4
Minke whale,4,5,0.9501889083602174,0.03380249772560031,3,8,4
Minke whale,4,6,0.966879212476743,0.016825062609373203,3,8,4
Minke whale,4,7,0.9441414223005952,0.03912828531823655,3,8,4
Minke whale,4,8,0.9423266430767464,0.030839404591000787,3,8,4
Minke whale,4,9,0.9356776749943453,0.028120453193431216,3,8,4
Minke whale,8,0,0.9632165128311373,0.018266117936462833,3,8,6
Minke whale,8,1,0.9632165128311373,0.018266117936462833,3,8,6
Minke whale,8,2,0.9632165128311373,0.018266117936462833,3,8,6
Minke whale,8,3,0.9632165128311373,0.018266117936462833,3,8,6
Minke whale,8,4,0.9632165128311373,0.018266117936462833,3,8,6
Minke whale,8,5,0.9632165128311373,0.018266117936462833,3,8,6
Minke whale,8,6,0.9632165128311373,0.018266117936462833,3,8,6
Minke whale,8,7,0.9632165128311373,0.018266117936462833,3,8,6
Minke whale,8,8,0.9632165128311373,0.018266117936462833,3,8,6
Minke whale,8,9,0.9632165128311373,0.018266117936462833,3,8,6
Minke whale,16,0,0.9632165128311373,0.018266117936462833,3,8,6
