species,N_days,auc_mean,auc_std,n_seeds,n_pos_days_total,n_days_used_median
Minke whale,1,0.8652911327601153,0.046851673642990685,10,8,1.0
Minke whale,2,0.9156595666870739,0.022812175298752648,10,8,2.0
Minke whale,4,0.9495571284157842,0.014193715713217073,10,8,4.0
Minke whale,8,0.9632165128311373,0.0,10,8,6.0
Minke whale,16,0.9632165128311373,0.0,10,8,6.0
Minke whale,all,0.9632165128311373,,1,8,6.0
Sperm whale,1,0.5671212347807082,0.0513234613534145,10,32,1.0
Sperm whale,2,0.5639190744476692,0.0353734259880272,10,32,2.0
Sperm whale,4,0.5819023545802512,0.07159416668207508,10,32,4.0
Sperm whale,8,0.5919024979780925,0.0655896457743437,10,32,8.0
Sperm whale,16,0.6466242900989726,0.0443646175392088,10,32,16.0
Sperm whale,all,0.7145175711048585,,1,32,26.0
False killer whale,1,0.7432986277455335,0.07245409877952796,10,13,1.0
False killer whale,2,0.7409638302184998,0.06442750171267485,10,13,2.0
False killer whale,4,0.7809209024451711,0.047654433436236446,10,13,4.0
False killer whale,8,0.8217109287948503,0.024364428282221174,10,13,8.0
False killer whale,16,0.8248594765087726,0.0,10,13,11.0
False killer whale,all,0.8248594765087726,,1,13,11.0
Short-finned pilot whale,1,0.6104878952268119,0.06580123761447162,10,11,1.0
Short-finned pilot whale,2,0.6436852206965394,0.06050106610593187,10,11,2.0
Short-finned pilot whale,4,0.7084937087065277,0.0488299050883164,10,11,4.0
Short-finned pilot whale,8,0.7833858100494469,0.024232179894282283,10,11,8.0
Short-finned pilot whale,16,0.7825910768259441,0.0,10,11,9.0
Short-finned pilot whale,all,0.7825910768259441,,1,11,9.0
Rough-toothed dolphin,1,0.49846990431860644,0.10520380903194335,10,8,1.0
Rough-toothed dolphin,2,0.44831666056618485,0.0921650991951312,10,8,2.0
Rough-toothed dolphin,4,0.36291400280834274,0.057587532410779234,10,8,4.0
Rough-toothed dolphin,8,0.33811279121074206,0.0,10,8,5.0
Rough-toothed dolphin,16,0.33811279121074206,0.0,10,8,5.0
Rough-toothed dolphin,all,0.33811279121074206,,1,8,5.0
Offshore spotted dolphin,1,0.5172900375481351,0.14947284560188764,10,11,1.0
Offshore spotted dolphin,2,0.5167525144624124,0.11369504211255585,10,11,2.0
Offshore spotted dolphin,4,0.5070849447874274,0.11316261499801504,10,11,4.0
Offshore spotted dolphin,8,0.45069440684751,0.06768839323858837,10,11,8.0
Offshore spotted dolphin,16,0.3811718202107627,0.0,10,11,10.0
Offshore spotted dolphin,all,0.3811718202107627,,1,11,10.0
Striped dolphin,1,0.6351670396260103,0.11704237554521255,10,9,1.0
Striped dolphin,2,0.6181343818502599,0.11256502424694574,10,9,2.0
Striped dolphin,4,0.612840742630955,0.11938314713653737,10,9,4.0
Striped dolphin,8,0.6860860218884772,0.0,10,9,7.0
Striped dolphin,16,0.6860860218884772,0.0,10,9,7.0
Striped dolphin,all,0.6860860218884772,,1,9,7.0
