species,N_days,seed,auc_mean,auc_std,n_folds_used,n_days_total,n_days_used_median
Minke whale,2,0,0.771681711266214,0.14443884707364354,4,8,2
Minke whale,2,1,0.7752415921286252,0.09564241091426505,4,8,2
Minke whale,2,2,0.7366564755149929,0.12350826925031998,4,8,2
Minke whale,2,3,0.6816274600007599,0.14170889269787812,4,8,2
Minke whale,2,4,0.7558042118461873,0.11029412688379252,4,8,2
Minke whale,2,5,0.7667649861293723,0.11208460117164962,4,8,2
Minke whale,2,6,0.7557589242968288,0.16333319250155065,4,8,2
Minke whale,2,7,0.7701295636336392,0.08784885860032453,4,8,2
Minke whale,2,8,0.6946113795706034,0.1621911932541965,4,8,2
Minke whale,2,9,0.6834125145035816,0.10532443537023624,4,8,2
Minke whale,4,0,0.7708818408957661,0.10200465483723195,4,8,4
Minke whale,4,1,0.733916614655262,0.13058647239328672,4,8,4
Minke whale,4,2,0.781397497700471,0.14059943204965134,4,8,4
Minke whale,4,3,0.7847608805026836,0.112691486361585,4,8,4
Minke whale,4,4,0.7600547556723498,0.1637716807748061,4,8,4
Minke whale,4,5,0.7415688428419716,0.15945193226162374,4,8,4
Minke whale,4,6,0.7786607278280655,0.10692402701826506,4,8,4
Minke whale,4,7,0.8099521791693214,0.08067744003220882,4,8,4
Minke whale,4,8,0.7716534739351584,0.11140509441643555,4,8,4
Minke whale,4,9,0.746949236762835,0.13350419152531534,4,8,4
Minke whale,8,0,0.8019111815080588,0.08140795205168212,4,8,6
Minke whale,8,1,0.7459574241395522,0.18897142955065696,4,8,6
Minke whale,8,2,0.7613790865982457,0.11391063331666675,4,8,6
Minke whale,8,3,0.7526756868642428,0.17206943280526799,4,8,6
Minke whale,8,4,0.7572474002678844,0.12885591666989538,4,8,6
Minke whale,8,5,0.7812136719067448,0.12218109698669985,4,8,6
Minke whale,8,6,0.7911913907814978,0.13834292459586084,4,8,6
Minke whale,8,7,0.7904801653074758,0.09562090609936647,4,8,6
Minke whale,8,8,0.7672053580634404,0.17155180905631803,4,8,6
Minke whale,8,9,0.7718425950437604,0.16314091874064152,4,8,6
Minke whale,all,0,0.8019111815080588,0.08140795205168212,4,8,6
Sperm whale,2,0,0.5907780965834826,0.21683184389326893,5,25,2
Sperm whale,2,1,0.4886504397674695,0.06685489948955792,5,25,2
Sperm whale,2,2,0.5732105799595555,0.13709213616934,5,25,2
Sperm whale,2,3,0.4841317910111048,0.10562902303401137,5,25,2
Sperm whale,2,4,0.46118773393478313,0.08285789450068047,5,25,2
Sperm whale,2,5,0.5277952892913894,0.0759638842963177,5,25,2
Sperm whale,2,6,0.47977602862215374,0.06846651749473112,5,25,2
Sperm whale,2,7,0.47925145908763306,0.12058925946273176,5,25,2
Sperm whale,2,8,0.39637934955181475,0.06708143282479821,5,25,2
Sperm whale,2,9,0.5789615765282639,0.15882318547592897,5,25,2
Sperm whale,4,0,0.554346319858652,0.09198937562371645,5,25,4
Sperm whale,4,1,0.4405124429077206,0.16757466322646158,5,25,4
Sperm whale,4,2,0.48480457006780614,0.12442030006443501,5,25,4
Sperm whale,4,3,0.4314787056599549,0.19523516226360313,5,25,4
Sperm whale,4,4,0.568523094444165,0.09425308426833283,5,25,4
Sperm whale,4,5,0.5501996875499559,0.171837119188232,5,25,4
Sperm whale,4,6,0.5638137667930294,0.0870381335768181,5,25,4
Sperm whale,4,7,0.5443007240271516,0.09108090718011393,5,25,4
Sperm whale,4,8,0.4923694513351471,0.08427407160405359,5,25,4
Sperm whale,4,9,0.5934937372960226,0.08945944175229556,5,25,4
Sperm whale,8,0,0.5573497590773405,0.10273916669476561,5,25,8
Sperm whale,8,1,0.5384408480942916,0.09988110374106941,5,25,8
Sperm whale,8,2,0.4247427060056953,0.10785093184186763,5,25,8
Sperm whale,8,3,0.5337827340110317,0.11027188181671656,5,25,8
Sperm whale,8,4,0.5434217275519,0.22295635080842557,5,25,8
Sperm whale,8,5,0.4849734194594781,0.11265988563190049,5,25,8
Sperm whale,8,6,0.5180809118852687,0.2014205706045018,5,25,8
Sperm whale,8,7,0.5239090521766911,0.15369321177448284,5,25,8
Sperm whale,8,8,0.505242117324567,0.11012818905410526,5,25,8
Sperm whale,8,9,0.4736670812136946,0.16813787327799856,5,25,8
Sperm whale,all,0,0.5011812147474808,0.21515045116540366,5,25,20
False killer whale,2,0,0.8669297195478569,0.11712958241338718,5,8,2
False killer whale,2,1,0.8785494094748143,0.06470536178963322,5,8,2
False killer whale,2,2,0.712945925460313,0.2519349977171591,5,8,2
False killer whale,2,3,0.8305423137425146,0.1252890146364697,5,8,2
False killer whale,2,4,0.8963359583577301,0.07819528430054203,5,8,2
False killer whale,2,5,0.7000945806507991,0.2625675520565586,5,8,2
False killer whale,2,6,0.76670547945511,0.14251964052948105,5,8,2
False killer whale,2,7,0.7896081087037061,0.16217551364439675,5,8,2
False killer whale,2,8,0.8898629997391716,0.08112013773292687,5,8,2
False killer whale,2,9,0.7870063509989319,0.1286298091200194,5,8,2
False killer whale,4,0,0.7906296535611705,0.090393193396718,5,8,4
False killer whale,4,1,0.9130053725783922,0.07130756504059506,5,8,4
False killer whale,4,2,0.760899424685965,0.1088083491926869,5,8,4
False killer whale,4,3,0.8205773294634173,0.1152195591312818,5,8,4
False killer whale,4,4,0.7588199619449473,0.3179227421539379,5,8,4
False killer whale,4,5,0.8669046381268117,0.0994557776664743,5,8,4
False killer whale,4,6,0.8277006526803822,0.14648317549147716,5,8,4
False killer whale,4,7,0.8185166455242173,0.14542321373685652,5,8,4
False killer whale,4,8,0.821929676397869,0.12216095513392197,5,8,4
False killer whale,4,9,0.8134498210239134,0.09219285806003755,5,8,4
False killer whale,8,0,0.8375848912728436,0.11680930714716932,5,8,7
False killer whale,8,1,0.7692415277104241,0.254207772150038,5,8,7
False killer whale,8,2,0.7740482397044175,0.2363584287201264,5,8,7
False killer whale,8,3,0.842130170557845,0.21604973255982232,5,8,7
False killer whale,8,4,0.8893515297112107,0.11362850410509878,5,8,7
False killer whale,8,5,0.8808092146515278,0.10179910882958311,5,8,7
False killer whale,8,6,0.8234740730757458,0.16955057130498755,5,8,7
False killer whale,8,7,0.7851668818502213,0.1564957310920242,5,8,7
False killer whale,8,8,0.8178582891708233,0.1759789720969607,5,8,7
False killer whale,8,9,0.8330210556118143,0.22511063325894762,5,8,7
False killer whale,all,0,0.8375848912728436,0.11680930714716932,5,8,7
Short-finned pilot whale,2,0,0.8251725734102912,0.11641781451715064,3,3,2
Short-finned pilot whale,2,1,0.7886289910299533,0.15909990020549825,3,3,2
Short-finned pilot whale,2,2,0.7216751776296663,0.025993353914509677,3,3,2
Short-finned pilot whale,2,3,0.6464435460276131,0.1640383609602008,3,3,2
Short-finned pilot whale,2,4,0.7651504179448626,0.16117686646376672,3,3,2
Short-finned pilot whale,2,5,0.8596953639080235,0.04988802707029827,3,3,2
Short-finned pilot whale,2,6,0.6111749384612915,0.19923322862568726,3,3,2
Short-finned pilot whale,2,7,0.8034979190932882,0.14117003833333036,3,3,2
Short-finned pilot whale,2,8,0.7604220056416127,0.15171908129516423,3,3,2
Short-finned pilot whale,2,9,0.5454014652901477,0.25998427521706335,3,3,2
Short-finned pilot whale,4,0,0.8251725734102912,0.11641781451715064,3,3,2
Short-finned pilot whale,4,1,0.7886289910299533,0.15909990020549825,3,3,2
Short-finned pilot whale,4,2,0.7216751776296663,0.025993353914509677,3,3,2
Short-finned pilot whale,4,3,0.6464435460276131,0.1640383609602008,3,3,2
Short-finned pilot whale,4,4,0.7651504179448626,0.16117686646376672,3,3,2
Short-finned pilot whale,4,5,0.8596953639080235,0.04988802707029827,3,3,2
Short-finned pilot whale,4,6,0.6111749384612915,0.19923322862568726,3,3,2
Short-finned pilot whale,4,7,0.8034979190932882,0.14117003833333036,3,3,2
Short-finned pilot whale,4,8,0.7604220056416127,0.15171908129516423,3,3,2
Short-finned pilot whale,4,9,0.5454014652901477,0.25998427521706335,3,3,2
Short-finned pilot whale,8,0,0.8251725734102912,0.11641781451715064,3,3,2
Short-finned pilot whale,8,1,0.7886289910299533,0.15909990020549825,3,3,2
Short-finned pilot whale,8,2,0.7216751776296663,0.025993353914509677,3,3,2
Short-finned pilot whale,8,3,0.6464435460276131,0.1640383609602008,3,3,2
Short-finned pilot whale,8,4,0.7651504179448626,0.16117686646376672,3,3,2
Short-finned pilot whale,8,5,0.8596953639080235,0.04988802707029827,3,3,2
Short-finned pilot whale,8,6,0.6111749384612915,0.19923322862568726,3,3,2
Short-finned pilot whale,8,7,0.8034979190932882,0.14117003833333036,3,3,2
Short-finned pilot whale,8,8,0.7604220056416127,0.15171908129516423,3,3,2
Short-finned pilot whale,8,9,0.5454014652901477,0.25998427521706335,3,3,2
Short-finned pilot whale,all,0,0.8251725734102912,0.11641781451715064,3,3,2
Rough-toothed dolphin,2,0,0.6295809037785294,0.20876884199245416,5,6,2
Rough-toothed dolphin,2,1,0.5837547753517807,0.08171482102265053,5,6,2
Rough-toothed dolphin,2,2,0.6984212541318852,0.10238527923717657,5,6,2
Rough-toothed dolphin,2,3,0.6780217432836595,0.14233658446486044,5,6,2
Rough-toothed dolphin,2,4,0.7497958165004995,0.28216428682488076,5,6,2
Rough-toothed dolphin,2,5,0.6420382697325201,0.1875844601694619,5,6,2
Rough-toothed dolphin,2,6,0.6852412598262105,0.15630609265030462,5,6,2
Rough-toothed dolphin,2,7,0.6679980003014961,0.15540601738341614,5,6,2
Rough-toothed dolphin,2,8,0.6878846075705949,0.17031826637015376,5,6,2
Rough-toothed dolphin,2,9,0.5792236311559649,0.2733722056225152,5,6,2
Rough-toothed dolphin,4,0,0.8101696437659328,0.16774249357988055,5,6,4
Rough-toothed dolphin,4,1,0.6406572952972787,0.16496949375474382,5,6,4
Rough-toothed dolphin,4,2,0.6593849893808121,0.2238488860006674,5,6,4
Rough-toothed dolphin,4,3,0.670911726186495,0.1941925562775315,5,6,4
