species,N_days,auc_mean,auc_std,n_seeds,n_days_total,n_days_used_median
Minke whale,2,0.7391688818890805,0.03806699930815026,10,8,2.0
Minke whale,4,0.7679796049963884,0.02290620973419774,10,8,4.0
Minke whale,8,0.7721103960480903,0.018542371446794943,10,8,6.0
Minke whale,all,0.8019111815080588,,1,8,6.0
Sperm whale,2,0.5060122344337651,0.06120116703842188,10,25,2.0
Sperm whale,4,0.5223842499939606,0.05623096477168543,10,25,4.0
Sperm whale,8,0.5103610356799958,0.039761547007958385,10,25,8.0
Sperm whale,all,0.5011812147474808,,1,25,20.0
False killer whale,2,0.8118580846130948,0.07186184278101253,10,8,2.0
False killer whale,4,0.8192433175987086,0.04600878325521267,10,8,4.0
False killer whale,8,0.8252685873316873,0.04098282145109304,10,8,7.0
False killer whale,all,0.8375848912728436,,1,8,7.0
Short-finned pilot whale,2,0.7327262398436749,0.10113342850783799,10,3,2.0
Short-finned pilot whale,4,0.7327262398436749,0.10113342850783799,10,3,2.0
Short-finned pilot whale,8,0.7327262398436749,0.10113342850783799,10,3,2.0
Short-finned pilot whale,all,0.8251725734102912,,1,3,2.0
Rough-toothed dolphin,2,0.6601960261633141,0.05262933503780554,10,6,2.0
Rough-toothed dolphin,4,0.679452704808592,0.04931013921737769,10,6,4.0
Rough-toothed dolphin,8,0.72303807442672,0.06681678564561933,10,6,5.0
Rough-toothed dolphin,all,0.697108707456674,,1,6,5.0
Offshore spotted dolphin,2,0.5365768596713789,0.10131263349472701,10,9,2.0
Offshore spotted dolphin,4,0.6265726186917959,0.04471301464347266,10,9,4.0
Offshore spotted dolphin,8,0.6214022844739608,0.04784410859755938,10,9,7.0
Offshore spotted dolphin,all,0.6871583613713069,,1,9,7.0
Striped dolphin,2,0.5337984638810067,0.08110515539173493,10,8,2.0
Striped dolphin,4,0.5319017286792268,0.08832226566406498,10,8,4.0
Striped dolphin,8,0.5881912836565648,0.0417141574083322,10,8,6.0
Striped dolphin,all,0.5727860893887952,,1,8,6.0
